model,effect,metric,value,bz,n
refit,y,mspe,0.24738597869873047,0,12800
refit,y,bias2,0.247166708111763,0,12800
refit,y,var,0.00021926652698311955,0,12800
refit,fx,mspe,0.004507862962782383,0,12800
refit,fx,bias2,0.0008131514769047499,0,12800
refit,fx,var,0.0036947117187082767,0,12800
refit,fr,mspe,0.020042825490236282,0,12800
refit,fr,bias2,0.016348112374544144,0,12800
refit,fr,var,0.0036947117187082767,0,12800
refit,fz,mspe,0.0013068323023617268,0,12800
refit,fz,bias2,0.00023480963136535138,0,12800
refit,fz,var,0.0010720225982367992,0,12800
refit_orth,y,mspe,0.2473868876695633,0,12800
refit_orth,y,bias2,0.24716758728027344,0,12800
refit_orth,y,var,0.000219294466660358,0,12800
refit_orth,fx,mspe,0.022889969870448112,0,12800
refit_orth,fx,bias2,0.019862795248627663,0,12800
refit_orth,fx,var,0.003027173224836588,0,12800
refit_orth,fr,mspe,0.003640697803348303,0,12800
refit_orth,fr,bias2,0.0006135248695500195,0,12800
refit_orth,fr,var,0.003027173224836588,0,12800
refit_orth,fz,mspe,0.019932592287659645,0,12800
refit_orth,fz,bias2,0.01957358978688717,0,12800
refit_orth,fz,var,0.00035900325747206807,0,12800
base,y,mspe,0.24757400155067444,0,12800
base,y,bias2,0.2473197728395462,0,12800
base,y,var,0.0002542224247008562,0,12800
base,fx,mspe,0.0040811412036418915,0,12800
base,fx,bias2,0.0007898843032307923,0,12800
base,fx,var,0.00329125695861876,0,12800
base,fr,mspe,0.019298724830150604,0,12800
base,fr,bias2,0.016007468104362488,0,12800
base,fr,var,0.00329125695861876,0,12800
base,fz,mspe,0.0,0,12800
base,fz,bias2,0.0,0,12800
base,fz,var,0.0,0,12800
posthoc_web,y,mspe,0.24894919991493225,0,12800
posthoc_web,y,bias2,0.2487146407365799,0,12800
posthoc_web,y,var,0.00023457733914256096,0,12800
posthoc_web,fx,mspe,0.0228916984051466,0,12800
posthoc_web,fx,bias2,0.01995869353413582,0,12800
posthoc_web,fx,var,0.0029330039396882057,0,12800
posthoc_web,fr,mspe,0.0034895334392786026,0,12800
posthoc_web,fr,bias2,0.0005565295577980578,0,12800
posthoc_web,fr,var,0.0029330039396882057,0,12800
posthoc_web,fz,mspe,0.0,0,12800
posthoc_web,fz,bias2,0.0,0,12800
posthoc_web,fz,var,0.0,0,12800
refit,y,mspe,0.24509960412979126,0.5,12800
refit,y,bias2,0.2449013888835907,0.5,12800
refit,y,var,0.00019820431771222502,0.5,12800
refit,fx,mspe,0.00429634191095829,0.5,12800
refit,fx,bias2,0.0009152871207334101,0.5,12800
refit,fx,var,0.0033810550812631845,0.5,12800
refit,fr,mspe,0.02662799321115017,0.5,12800
refit,fr,bias2,0.023246942088007927,0.5,12800
refit,fr,var,0.0033810550812631845,0.5,12800
refit,fz,mspe,0.001050654798746109,0.5,12800
refit,fz,bias2,0.00011680683383019641,0.5,12800
refit,fz,var,0.0009338480303995311,0.5,12800
refit_orth,y,mspe,0.24509873986244202,0.5,12800
