model,effect,metric,value,n
refit,y,mspe,1.0027388334274292,102400
refit,y,bias2,1.0025357007980347,102400
refit,y,var,0.00020315154688432813,102400
refit,fx,mspe,0.0002642534673213959,102400
refit,fx,bias2,7.37703958293423e-05,102400
refit,fx,var,0.00019048307149205357,102400
refit,fr,mspe,0.020127251744270325,102400
refit,fr,bias2,0.01993676833808422,102400
refit,fr,var,0.00019048307149205357,102400
refit,fz,mspe,4.380401151138358e-05,102400
refit,fz,bias2,3.3261639487136563e-07,102400
refit,fz,var,4.347139110905118e-05,102400
refit_orth,y,mspe,1.0027618408203125,102400
refit_orth,y,bias2,1.0025608539581299,102400
refit_orth,y,var,0.0002010841271840036,102400
refit_orth,fx,mspe,0.019728336483240128,102400
refit_orth,fx,bias2,0.019563285633921623,102400
refit_orth,fx,var,0.00016504850646015257,102400
refit_orth,fr,mspe,0.0002369321882724762,102400
refit_orth,fr,bias2,7.188368908828124e-05,102400
refit_orth,fr,var,0.00016504850646015257,102400
refit_orth,fz,mspe,0.0197211354970932,102400
refit_orth,fz,bias2,0.019704191014170647,102400
refit_orth,fz,var,1.6946098185144365e-05,102400
nam,y,mspe,1.0040879249572754,102400
nam,y,bias2,1.0035619735717773,102400
nam,y,var,0.0005260429461486638,102400
nam,fx,mspe,0.0006714254850521684,102400
nam,fx,bias2,0.00014000361261423677,102400
nam,fx,var,0.0005314217996783555,102400
nam,fr,mspe,0.022602973505854607,102400
nam,fr,bias2,0.02207155153155327,102400
nam,fr,var,0.0005314217996783555,102400
nam,fz,mspe,0.00048499112017452717,102400
nam,fz,bias2,0.0002077249373542145,102400
nam,fz,var,0.0002772661973722279,102400
nam_mlp,y,mspe,1.0027529001235962,102400
nam_mlp,y,bias2,1.0023494958877563,102400
nam_mlp,y,var,0.0004033997538499534,102400
nam_mlp,fx,mspe,0.00039532355731353164,102400
nam_mlp,fx,bias2,0.00010968798596877605,102400
nam_mlp,fx,var,0.00028563555679284036,102400
nam_mlp,fr,mspe,0.019083447754383087,102400
nam_mlp,fr,bias2,0.01879781298339367,102400
nam_mlp,fr,var,0.00028563555679284036,102400
nam_mlp,fz,mspe,0.00018250122957397252,102400
nam_mlp,fz,bias2,3.036130510736257e-05,102400
nam_mlp,fz,var,0.00015213990991469473,102400
base,y,mspe,1.0505633354187012,102400
base,y,bias2,1.0500726699829102,102400
base,y,var,0.0004907106631435454,102400
base,fx,mspe,0.04899776354432106,102400
base,fx,bias2,0.04865137115120888,102400
base,fx,var,0.0003463902394287288,102400
base,fr,mspe,0.11810905486345291,102400
base,fr,bias2,0.11776266247034073,102400
base,fr,var,0.0003463902394287288,102400
base,fz,mspe,0.07795459032058716,102400
base,fz,bias2,0.07795459032058716,102400
base,fz,var,0.0,102400
posthoc_web,y,mspe,1.2369195222854614,102400
posthoc_web,y,bias2,1.2364681959152222,102400
posthoc_web,y,var,0.00045134444371797144,102400
posthoc_web,fx,mspe,0.03857877850532532,102400
posthoc_web,fx,bias2,0.038282908499240875,102400
posthoc_web,fx,var,0.0002958734694402665,102400
posthoc_web,fr,mspe,0.017396949231624603,102400
posthoc_web,fr,bias2,0.017101073637604713,102400
posthoc_web,fr,var,0.0002958734694402665,102400
posthoc_web,fz,mspe,0.07795459032058716,102400
posthoc_web,fz,bias2,0.07795459032058716,102400
posthoc_web,fz,var,0.0,102400
ssn,y,mspe,1.0040879249572754,102400
ssn,y,bias2,1.0035618543624878,102400
ssn,y,var,0.0005260429461486638,102400
ssn,fx,mspe,0.019917074590921402,102400
ssn,fx,bias2,0.0195576474070549,102400
ssn,fx,var,0.00035942616523243487,102400
ssn,fr,mspe,0.0004228847974445671,102400
ssn,fr,bias2,6.345866131596267e-05,102400
ssn,fr,var,0.00035942616523243487,102400
ssn,fz,mspe,0.01799984648823738,102400
ssn,fz,bias2,0.017944905906915665,102400
ssn,fz,var,5.494066499522887e-05,102400
nam_mlp_conc_0.01,y,mspe,1.0013104677200317,102400
nam_mlp_conc_0.01,y,bias2,1.0008721351623535,102400
nam_mlp_conc_0.01,y,var,0.00043820045539177954,102400
nam_mlp_conc_0.01,fx,mspe,0.0010476342868059874,102400
nam_mlp_conc_0.01,fx,bias2,0.0007423944771289825,102400
nam_mlp_conc_0.01,fx,var,0.00030523986788466573,102400
nam_mlp_conc_0.01,fr,mspe,0.014504828490316868,102400
nam_mlp_conc_0.01,fr,bias2,0.014199589379131794,102400
nam_mlp_conc_0.01,fr,var,0.00030523986788466573,102400
nam_mlp_conc_0.01,fz,mspe,0.0007396267610602081,102400
nam_mlp_conc_0.01,fz,bias2,0.0005902091506868601,102400
nam_mlp_conc_0.01,fz,var,0.00014941769768483937,102400
nam_mlp_conc_0.1,y,mspe,0.9999759793281555,102400
nam_mlp_conc_0.1,y,bias2,0.9993566870689392,102400
nam_mlp_conc_0.1,y,var,0.0006192245054990053,102400
nam_mlp_conc_0.1,fx,mspe,0.021284017711877823,102400
nam_mlp_conc_0.1,fx,bias2,0.020979104563593864,102400
nam_mlp_conc_0.1,fx,var,0.00030491463257931173,102400
nam_mlp_conc_0.1,fr,mspe,0.008179724216461182,102400
nam_mlp_conc_0.1,fr,bias2,0.007874809205532074,102400
nam_mlp_conc_0.1,fr,var,0.00030491463257931173,102400
nam_mlp_conc_0.1,fz,mspe,0.01592368632555008,102400
nam_mlp_conc_0.1,fz,bias2,0.01578003726899624,102400
nam_mlp_conc_0.1,fz,var,0.0001436481688870117,102400
nam_mlp_conc_1,y,mspe,1.000482439994812,102400
nam_mlp_conc_1,y,bias2,0.9999108910560608,102400
nam_mlp_conc_1,y,var,0.0005715785664506257,102400
nam_mlp_conc_1,fx,mspe,0.02490989863872528,102400
nam_mlp_conc_1,fx,bias2,0.024629713967442513,102400
nam_mlp_conc_1,fx,var,0.0002801858354359865,102400
nam_mlp_conc_1,fr,mspe,0.009208908304572105,102400
nam_mlp_conc_1,fr,bias2,0.008928721770644188,102400
nam_mlp_conc_1,fr,var,0.0002801858354359865,102400
nam_mlp_conc_1,fz,mspe,0.019202260300517082,102400
nam_mlp_conc_1,fz,bias2,0.019077487289905548,102400
nam_mlp_conc_1,fz,var,0.00012477522250264883,102400
cfnet_0.5,y,mspe,1.1317654848098755,102400
cfnet_0.5,y,bias2,1.0914764404296875,102400
cfnet_0.5,y,var,0.04028897359967232,102400
cfnet_0.5,fx,mspe,0.03221908211708069,102400
cfnet_0.5,fx,bias2,0.008107426576316357,102400
cfnet_0.5,fx,var,0.024111652746796608,102400
cfnet_0.5,fr,mspe,0.05735475569963455,102400
cfnet_0.5,fr,bias2,0.033243097364902496,102400
cfnet_0.5,fr,var,0.024111652746796608,102400
cfnet_0.5,fz,mspe,0.07795459032058716,102400
cfnet_0.5,fz,bias2,0.07795459032058716,102400
cfnet_0.5,fz,var,0.0,102400
cfnet_1,y,mspe,1.1293326616287231,102400
cfnet_1,y,bias2,1.0878068208694458,102400
cfnet_1,y,var,0.04152589663863182,102400
cfnet_1,fx,mspe,0.029815606772899628,102400
cfnet_1,fx,bias2,0.0067225052043795586,102400
cfnet_1,fx,var,0.023093098774552345,102400
cfnet_1,fr,mspe,0.055843256413936615,102400
cfnet_1,fr,bias2,0.03275015950202942,102400
cfnet_1,fr,var,0.023093098774552345,102400
cfnet_1,fz,mspe,0.07795459032058716,102400
cfnet_1,fz,bias2,0.07795459032058716,102400
cfnet_1,fz,var,0.0,102400
cfnet_5,y,mspe,1.1362649202346802,102400
cfnet_5,y,bias2,1.0914955139160156,102400
cfnet_5,y,var,0.044769372791051865,102400
cfnet_5,fx,mspe,0.03208552673459053,102400
cfnet_5,fx,bias2,0.008061310276389122,102400
cfnet_5,fx,var,0.024024220183491707,102400
cfnet_5,fr,mspe,0.0576314814388752,102400
cfnet_5,fr,bias2,0.03360726311802864,102400
cfnet_5,fr,var,0.024024220183491707,102400
cfnet_5,fz,mspe,0.07795459032058716,102400
cfnet_5,fz,bias2,0.07795459032058716,102400
cfnet_5,fz,var,0.0,102400
circe_1,y,mspe,1.0539195537567139,102400
circe_1,y,bias2,1.0534136295318604,102400
circe_1,y,var,0.000505987845826894,102400
circe_1,fx,mspe,0.049119483679533005,102400
circe_1,fx,bias2,0.048630647361278534,102400
circe_1,fx,var,0.0004888360854238272,102400
circe_1,fr,mspe,0.1187945157289505,102400
circe_1,fr,bias2,0.11830568313598633,102400
circe_1,fr,var,0.0004888360854238272,102400
circe_1,fz,mspe,0.07795459032058716,102400
circe_1,fz,bias2,0.07795459032058716,102400
circe_1,fz,var,0.0,102400
circe_10,y,mspe,1.056621789932251,102400
circe_10,y,bias2,1.0561914443969727,102400
circe_10,y,var,0.00043042461038567126,102400
circe_10,fx,mspe,0.03472685441374779,102400
circe_10,fx,bias2,0.0343194305896759,102400
circe_10,fx,var,0.00040742478449828923,102400
circe_10,fr,mspe,0.09435739368200302,102400
circe_10,fr,bias2,0.09394996613264084,102400
circe_10,fr,var,0.00040742478449828923,102400
circe_10,fz,mspe,0.07795459032058716,102400
circe_10,fz,bias2,0.07795459032058716,102400
circe_10,fz,var,0.0,102400
circe_100,y,mspe,1.1168533563613892,102400
circe_100,y,bias2,1.107184648513794,102400
circe_100,y,var,0.009668772108852863,102400
circe_100,fx,mspe,0.020335083827376366,102400
circe_100,fx,bias2,0.010689463466405869,102400
circe_100,fx,var,0.009645620360970497,102400
circe_100,fr,mspe,0.04553228244185448,102400
circe_100,fr,bias2,0.03588666766881943,102400
circe_100,fr,var,0.009645620360970497,102400
circe_100,fz,mspe,0.07795459032058716,102400
circe_100,fz,bias2,0.07795459032058716,102400
circe_100,fz,var,0.0,102400
refit,y,mspe,1.0046800374984741,12800
refit,y,bias2,1.0036962032318115,12800
refit,y,var,0.0009837389225140214,12800
refit,fx,mspe,0.0013902506325393915,12800
refit,fx,bias2,0.0004062809457536787,12800
