model,effect,metric,value,n,q
refit,y,mspe,1.0039076805114746,12800,1024
refit,y,bias2,1.0028501749038696,12800,1024
refit,y,var,0.0010573499603196979,12800,1024
refit,fx,mspe,0.001337916823104024,12800,1024
refit,fx,bias2,0.00030801023240201175,12800,1024
refit,fx,var,0.00102990644518286,12800,1024
refit,fr,mspe,0.021568546071648598,12800,1024
refit,fr,bias2,0.020538639277219772,12800,1024
refit,fr,var,0.00102990644518286,12800,1024
refit,fz,mspe,0.0003075378481298685,12800,1024
refit,fz,bias2,7.578652002848685e-06,12800,1024
refit,fz,var,0.0002999591815751046,12800,1024
nam,y,mspe,1.0137790441513062,12800,1024
nam,y,bias2,1.0102170705795288,12800,1024
nam,y,var,0.0035619705449789762,12800,1024
nam,fx,mspe,0.007681212387979031,12800,1024
nam,fx,bias2,0.0035894254688173532,12800,1024
nam,fx,var,0.004091786220669746,12800,1024
nam,fr,mspe,0.04042448848485947,12800,1024
nam,fr,bias2,0.03633270412683487,12800,1024
nam,fr,var,0.004091786220669746,12800,1024
nam,fz,mspe,0.009418866597115993,12800,1024
nam,fz,bias2,0.006094863638281822,12800,1024
nam,fz,var,0.0033240034244954586,12800,1024
nam_mlp,y,mspe,1.0068175792694092,12800,1024
nam_mlp,y,bias2,1.004888892173767,12800,1024
nam_mlp,y,var,0.0019286773167550564,12800,1024
nam_mlp,fx,mspe,0.0024071717634797096,12800,1024
nam_mlp,fx,bias2,0.0005260940524749458,12800,1024
nam_mlp,fx,var,0.0018810778856277466,12800,1024
nam_mlp,fr,mspe,0.026055321097373962,12800,1024
nam_mlp,fr,bias2,0.024174245074391365,12800,1024
nam_mlp,fr,var,0.0018810778856277466,12800,1024
nam_mlp,fz,mspe,0.002236533211544156,12800,1024
nam_mlp,fz,bias2,0.0007957895286381245,12800,1024
nam_mlp,fz,var,0.001440743450075388,12800,1024
refit,y,mspe,1.00443696975708,12800,128
refit,y,bias2,1.0034631490707397,12800,128
refit,y,var,0.0009738996159285307,12800,128
refit,fx,mspe,0.0013371077366173267,12800,128
refit,fx,bias2,0.00035900899092666805,12800,128
refit,fx,var,0.0009780987165868282,12800,128
refit,fr,mspe,0.022867577150464058,12800,128
refit,fr,bias2,0.021889476105570793,12800,128
refit,fr,var,0.0009780987165868282,12800,128
refit,fz,mspe,0.00037543446524068713,12800,128
refit,fz,bias2,5.649176091537811e-05,12800,128
refit,fz,var,0.0003189426788594574,12800,128
nam,y,mspe,1.0110278129577637,12800,128
nam,y,bias2,1.0082980394363403,12800,128
nam,y,var,0.0027297937776893377,12800,128
nam,fx,mspe,0.005202549509704113,12800,128
nam,fx,bias2,0.002455875277519226,12800,128
nam,fx,var,0.0027466746978461742,12800,128
nam,fr,mspe,0.035536158829927444,12800,128
nam,fr,bias2,0.03278948739171028,12800,128
nam,fr,var,0.0027466746978461742,12800,128
nam,fz,mspe,0.006428065709769726,12800,128
nam,fz,bias2,0.004387851804494858,12800,128
nam,fz,var,0.002040214603766799,12800,128
nam_mlp,y,mspe,1.0061849355697632,12800,128
nam_mlp,y,bias2,1.0048115253448486,12800,128
nam_mlp,y,var,0.0013734000967815518,12800,128
nam_mlp,fx,mspe,0.0017058126395568252,12800,128
nam_mlp,fx,bias2,0.0005283057107590139,12800,128
nam_mlp,fx,var,0.001177507103420794,12800,128
nam_mlp,fr,mspe,0.025275742635130882,12800,128
nam_mlp,fr,bias2,0.024098234251141548,12800,128
nam_mlp,fr,var,0.001177507103420794,12800,128
nam_mlp,fz,mspe,0.0013335415860638022,12800,128
nam_mlp,fz,bias2,0.0006697323988191783,12800,128
nam_mlp,fz,var,0.000663809129036963,12800,128
refit,y,mspe,1.004899263381958,12800,16
refit,y,bias2,1.003912091255188,12800,16
refit,y,var,0.0009872742230072618,12800,16
refit,fx,mspe,0.0014389443676918745,12800,16
refit,fx,bias2,0.0004415271105244756,12800,16
refit,fx,var,0.000997417257167399,12800,16
refit,fr,mspe,0.023145122453570366,12800,16
refit,fr,bias2,0.022147705778479576,12800,16
refit,fr,var,0.000997417257167399,12800,16
refit,fz,mspe,0.0003912398824468255,12800,16
refit,fz,bias2,6.677037890767679e-05,12800,16
refit,fz,var,0.0003244694962631911,12800,16
nam,y,mspe,1.0108020305633545,12800,16
nam,y,bias2,1.0083273649215698,12800,16
nam,y,var,0.0024746886920183897,12800,16
nam,fx,mspe,0.005424853414297104,12800,16
nam,fx,bias2,0.0027405605651438236,12800,16
nam,fx,var,0.0026842928491532803,12800,16
nam,fr,mspe,0.03641534224152565,12800,16
nam,fr,bias2,0.03373105078935623,12800,16
nam,fr,var,0.0026842928491532803,12800,16
nam,fz,mspe,0.006335264537483454,12800,16
nam,fz,bias2,0.004636926110833883,12800,16
nam,fz,var,0.001698338077403605,12800,16
nam_mlp,y,mspe,1.0054821968078613,12800,16
nam_mlp,y,bias2,1.0037543773651123,12800,16
nam_mlp,y,var,0.001727806287817657,12800,16
nam_mlp,fx,mspe,0.0016955083701759577,12800,16
nam_mlp,fx,bias2,0.0003387588367331773,12800,16
nam_mlp,fx,var,0.0013567495625466108,12800,16
nam_mlp,fr,mspe,0.022233067080378532,12800,16
nam_mlp,fr,bias2,0.020876316353678703,12800,16
nam_mlp,fr,var,0.0013567495625466108,12800,16
nam_mlp,fz,mspe,0.0009959989693015814,12800,16
nam_mlp,fz,bias2,0.00013577667414210737,12800,16
nam_mlp,fz,var,0.0008602223824709654,12800,16
refit,y,mspe,1.0133733749389648,12800,2
refit,y,bias2,1.011409044265747,12800,2
refit,y,var,0.0019643509294837713,12800,2
refit,fx,mspe,0.009631064720451832,12800,2
refit,fx,bias2,0.007164708338677883,12800,2
refit,fx,var,0.0024663556832820177,12800,2
refit,fr,mspe,0.044634610414505005,12800,2
refit,fr,bias2,0.042168255895376205,12800,2
refit,fr,var,0.0024663556832820177,12800,2
refit,fz,mspe,0.003945426549762487,12800,2
refit,fz,bias2,0.0031629418954253197,12800,2
refit,fz,var,0.0007824841304682195,12800,2
nam,y,mspe,1.0098791122436523,12800,2
nam,y,bias2,1.0076189041137695,12800,2
nam,y,var,0.0022601503878831863,12800,2
nam,fx,mspe,0.004621583968400955,12800,2
nam,fx,bias2,0.002259324537590146,12800,2
nam,fx,var,0.002362259430810809,12800,2
nam,fr,mspe,0.03441222012042999,12800,2
nam,fr,bias2,0.032049961388111115,12800,2
nam,fr,var,0.002362259430810809,12800,2
nam,fz,mspe,0.005531651899218559,12800,2
nam,fz,bias2,0.0037465160712599754,12800,2
nam,fz,var,0.001785135711543262,12800,2
nam_mlp,y,mspe,1.005181074142456,12800,2
nam_mlp,y,bias2,1.0037405490875244,12800,2
nam_mlp,y,var,0.0014406353002414107,12800,2
nam_mlp,fx,mspe,0.001692757592536509,12800,2
nam_mlp,fx,bias2,0.00041757948929443955,12800,2
nam_mlp,fx,var,0.0012751780450344086,12800,2
nam_mlp,fr,mspe,0.021842965856194496,12800,2
nam_mlp,fr,bias2,0.020567789673805237,12800,2
nam_mlp,fr,var,0.0012751780450344086,12800,2
nam_mlp,fz,mspe,0.0007556866039521992,12800,2
nam_mlp,fz,bias2,0.00010221284173894674,12800,2
nam_mlp,fz,var,0.0006534737185575068,12800,2
refit,y,mspe,1.0044506788253784,12800,256
refit,y,bias2,1.003416895866394,12800,256
refit,y,var,0.0010337542043998837,12800,256
refit,fx,mspe,0.0013400476891547441,12800,256
refit,fx,bias2,0.0003206929541192949,12800,256
refit,fx,var,0.001019354909658432,12800,256
refit,fr,mspe,0.02260422147810459,12800,256
refit,fr,bias2,0.02158486843109131,12800,256
refit,fr,var,0.001019354909658432,12800,256
refit,fz,mspe,0.00034710130421444774,12800,256
refit,fz,bias2,4.422055644681677e-05,12800,256
refit,fz,var,0.00030288074049167335,12800,256
nam,y,mspe,1.0138485431671143,12800,256
nam,y,bias2,1.010669231414795,12800,256
nam,y,var,0.003179346676915884,12800,256
nam,fx,mspe,0.007554199080914259,12800,256
nam,fx,bias2,0.004094019532203674,12800,256
nam,fx,var,0.0034601795487105846,12800,256
nam,fr,mspe,0.04121087118983269,12800,256
nam,fr,bias2,0.037750691175460815,12800,256
nam,fr,var,0.0034601795487105846,12800,256
nam,fz,mspe,0.010060062631964684,12800,256
nam,fz,bias2,0.006906701251864433,12800,256
nam,fz,var,0.0031533604487776756,12800,256
nam_mlp,y,mspe,1.0068706274032593,12800,256
nam_mlp,y,bias2,1.0051672458648682,12800,256
nam_mlp,y,var,0.0017033540643751621,12800,256
nam_mlp,fx,mspe,0.002462641103193164,12800,256
nam_mlp,fx,bias2,0.0007077372283674777,12800,256
nam_mlp,fx,var,0.0017549038166180253,12800,256
nam_mlp,fr,mspe,0.027134262025356293,12800,256
nam_mlp,fr,bias2,0.025379357859492302,12800,256
nam_mlp,fr,var,0.0017549038166180253,12800,256
nam_mlp,fz,mspe,0.00236334465444088,12800,256
nam_mlp,fz,bias2,0.0009465840412303805,12800,256
nam_mlp,fz,var,0.0014167607296258211,12800,256
refit,y,mspe,1.004553198814392,12800,32
refit,y,bias2,1.0035793781280518,12800,32
refit,y,var,0.0009738710359670222,12800,32
refit,fx,mspe,0.0013431471306830645,12800,32
refit,fx,bias2,0.0003796739620156586,12800,32
refit,fx,var,0.0009634733432903886,12800,32
refit,fr,mspe,0.022971680387854576,12800,32
refit,fr,bias2,0.022008204832673073,12800,32
refit,fr,var,0.0009634733432903886,12800,32
refit,fz,mspe,0.0003722879628185183,12800,32
