model,effect,metric,value,a,n
refit,y,mspe,1.0036143064498901,0.0,12800
refit,y,bias2,1.0025913715362549,0.0,12800
refit,y,var,0.0010230944026261568,0.0,12800
refit,fx,mspe,0.0013294697273522615,0.0,12800
refit,fx,bias2,0.00032551109325140715,0.0,12800
refit,fx,var,0.0010039586341008544,0.0,12800
refit,fr,mspe,0.0218817088752985,0.0,12800
refit,fr,bias2,0.02087775059044361,0.0,12800
refit,fr,var,0.0010039586341008544,0.0,12800
refit,fz,mspe,0.00022494794393423945,0.0,12800
refit,fz,bias2,1.0653005119820591e-05,0.0,12800
refit,fz,var,0.00021429493790492415,0.0,12800
refit_orth,y,mspe,1.003617286682129,0.0,12800
refit_orth,y,bias2,1.0025943517684937,0.0,12800
refit_orth,y,var,0.0010229441104456782,0.0,12800
refit_orth,fx,mspe,0.02060817740857601,0.0,12800
refit_orth,fx,bias2,0.019776253029704094,0.0,12800
refit_orth,fx,var,0.0008319264743477106,0.0,12800
refit_orth,fr,mspe,0.0011428662110120058,0.0,12800
refit_orth,fr,bias2,0.0003109397948719561,0.0,12800
refit_orth,fr,var,0.0008319264743477106,0.0,12800
refit_orth,fz,mspe,0.019735144451260567,0.0,12800
refit_orth,fz,bias2,0.019621437415480614,0.0,12800
refit_orth,fz,var,0.00011370802531018853,0.0,12800
base,y,mspe,1.052075982093811,0.0,12800
base,y,bias2,1.050003170967102,0.0,12800
base,y,var,0.002072870032861829,0.0,12800
base,fx,mspe,0.048287283629179,0.0,12800
base,fx,bias2,0.04680609703063965,0.0,12800
base,fx,var,0.0014811888104304671,0.0,12800
base,fr,mspe,0.11638209968805313,0.0,12800
base,fr,bias2,0.11490092426538467,0.0,12800
base,fr,var,0.0014811888104304671,0.0,12800
base,fz,mspe,0.07795459032058716,0.0,12800
base,fz,bias2,0.07795459032058716,0.0,12800
base,fz,var,0.0,0.0,12800
posthoc_web,y,mspe,1.2381702661514282,0.0,12800
posthoc_web,y,bias2,1.2362533807754517,0.0,12800
posthoc_web,y,var,0.0019169115694239736,0.0,12800
posthoc_web,fx,mspe,0.03928513824939728,0.0,12800
posthoc_web,fx,bias2,0.037963565438985825,0.0,12800
posthoc_web,fx,var,0.0013215714134275913,0.0,12800
posthoc_web,fr,mspe,0.017862943932414055,0.0,12800
posthoc_web,fr,bias2,0.01654137298464775,0.0,12800
posthoc_web,fr,var,0.0013215714134275913,0.0,12800
