model,effect,metric,value,cv1,n
base,y,mspe,1.0617719888687134,0.0,12800
base,y,bias2,1.0595437288284302,0.0,12800
base,y,var,0.002228295896202326,0.0,12800
base,fx,mspe,0.03675391525030136,0.0,12800
base,fx,bias2,0.03501477837562561,0.0,12800
base,fx,var,0.0017391314031556249,0.0,12800
base,fr,mspe,0.09138486534357071,0.0,12800
base,fr,bias2,0.08964572846889496,0.0,12800
base,fr,var,0.0017391314031556249,0.0,12800
base,fz,mspe,0.07795459032058716,0.0,12800
base,fz,bias2,0.07795459032058716,0.0,12800
base,fz,var,0.0,0.0,12800
posthoc,y,mspe,1.004489541053772,0.0,12800
posthoc,y,bias2,1.0022779703140259,0.0,12800
posthoc,y,var,0.0022115972824394703,0.0,12800
posthoc,fx,mspe,0.0023565522860735655,0.0,12800
posthoc,fx,bias2,0.0003983500646427274,0.0,12800
posthoc,fx,var,0.0019582021050155163,0.0,12800
posthoc,fr,mspe,0.022952336817979813,0.0,12800
posthoc,fr,bias2,0.02099413424730301,0.0,12800
posthoc,fr,var,0.0019582021050155163,0.0,12800
posthoc,fz,mspe,0.0004565082199405879,0.0,12800
posthoc,fz,bias2,4.206961875752313e-06,0.0,12800
posthoc,fz,var,0.0004523012903518975,0.0,12800
posthoc_orth,y,mspe,1.0044587850570679,0.0,12800
posthoc_orth,y,bias2,1.0022016763687134,0.0,12800
posthoc_orth,y,var,0.002257046289741993,0.0,12800
posthoc_orth,fx,mspe,0.021737808361649513,0.0,12800
posthoc_orth,fx,bias2,0.01990855298936367,0.0,12800
posthoc_orth,fx,var,0.0018292564200237393,0.0,12800
posthoc_orth,fr,mspe,0.002207431709393859,0.0,12800
posthoc_orth,fr,bias2,0.00037817511474713683,0.0,12800
posthoc_orth,fr,var,0.0018292564200237393,0.0,12800
posthoc_orth,fz,mspe,0.020354637876152992,0.0,12800
posthoc_orth,fz,bias2,0.02006571553647518,0.0,12800
posthoc_orth,fz,var,0.0002889197785407305,0.0,12800
base,y,mspe,1.0619864463806152,0.1,12800
base,y,bias2,1.0594229698181152,0.1,12800
base,y,var,0.002563447691500187,0.1,12800
base,fx,mspe,0.03758124262094498,0.1,12800
base,fx,bias2,0.035785578191280365,0.1,12800
base,fx,var,0.0017956614028662443,0.1,12800
base,fr,mspe,0.09280429780483246,0.1,12800
base,fr,bias2,0.09100862592458725,0.1,12800
base,fr,var,0.0017956614028662443,0.1,12800
base,fz,mspe,0.07795459032058716,0.1,12800
base,fz,bias2,0.07795459032058716,0.1,12800
base,fz,var,0.0,0.1,12800
posthoc,y,mspe,1.003993272781372,0.1,12800
posthoc,y,bias2,1.0020941495895386,0.1,12800
posthoc,y,var,0.001899105031043291,0.1,12800
posthoc,fx,mspe,0.002060637576505542,0.1,12800
posthoc,fx,bias2,0.00042981092701666057,0.1,12800
posthoc,fx,var,0.0016308268532156944,0.1,12800
posthoc,fr,mspe,0.0227810051292181,0.1,12800
posthoc,fr,bias2,0.02115017920732498,0.1,12800
posthoc,fr,var,0.0016308268532156944,0.1,12800
posthoc,fz,mspe,0.0004509606515057385,0.1,12800
posthoc,fz,bias2,6.64541266814922e-06,0.1,12800
posthoc,fz,var,0.0004443152283784002,0.1,12800
posthoc_orth,y,mspe,1.0039923191070557,0.1,12800
posthoc_orth,y,bias2,1.0020935535430908,0.1,12800
posthoc_orth,y,var,0.0018988996744155884,0.1,12800
posthoc_orth,fx,mspe,0.021425938233733177,0.1,12800
posthoc_orth,fx,bias2,0.019959712401032448,0.1,12800
posthoc_orth,fx,var,0.001466227462515235,0.1,12800
posthoc_orth,fr,mspe,0.0018767393194139004,0.1,12800
posthoc_orth,fr,bias2,0.0004105119442101568,0.1,12800
posthoc_orth,fr,var,0.001466227462515235,0.1,12800
posthoc_orth,fz,mspe,0.02035464346408844,0.1,12800
posthoc_orth,fz,bias2,0.02006572298705578,0.1,12800
posthoc_orth,fz,var,0.0002889211755245924,0.1,12800
base,y,mspe,1.0611752271652222,0.2,12800
base,y,bias2,1.0588244199752808,0.2,12800
base,y,var,0.0023507713340222836,0.2,12800
base,fx,mspe,0.03647090122103691,0.2,12800
base,fx,bias2,0.03485260158777237,0.2,12800
base,fx,var,0.0016182992840185761,0.2,12800
base,fr,mspe,0.09199308604001999,0.2,12800
base,fr,bias2,0.09037478268146515,0.2,12800
base,fr,var,0.0016182992840185761,0.2,12800
base,fz,mspe,0.07795459032058716,0.2,12800
base,fz,bias2,0.07795459032058716,0.2,12800
base,fz,var,0.0,0.2,12800
posthoc,y,mspe,1.0041855573654175,0.2,12800
posthoc,y,bias2,1.00203537940979,0.2,12800
posthoc,y,var,0.002150133950635791,0.2,12800
posthoc,fx,mspe,0.0023018193896859884,0.2,12800
posthoc,fx,bias2,0.00038514554034918547,0.2,12800
