model,effect,metric,value,n,p
refit,y,mspe,1.0036143064498901,12800,1
refit,y,bias2,1.0025913715362549,12800,1
refit,y,var,0.0010230944026261568,12800,1
refit,fx,mspe,0.0013294697273522615,12800,1
refit,fx,bias2,0.00032551109325140715,12800,1
refit,fx,var,0.0010039586341008544,12800,1
refit,fr,mspe,0.0218817088752985,12800,1
refit,fr,bias2,0.02087775059044361,12800,1
refit,fr,var,0.0010039586341008544,12800,1
refit,fz,mspe,0.00022494794393423945,12800,1
refit,fz,bias2,1.0653005119820591e-05,12800,1
refit,fz,var,0.00021429493790492415,12800,1
refit_orth,y,mspe,1.003617286682129,12800,1
refit_orth,y,bias2,1.0025943517684937,12800,1
refit_orth,y,var,0.0010229441104456782,12800,1
refit_orth,fx,mspe,0.02060817740857601,12800,1
refit_orth,fx,bias2,0.019776253029704094,12800,1
refit_orth,fx,var,0.0008319264743477106,12800,1
refit_orth,fr,mspe,0.0011428662110120058,12800,1
refit_orth,fr,bias2,0.00031093982397578657,12800,1
refit_orth,fr,var,0.0008319264743477106,12800,1
refit_orth,fz,mspe,0.019735144451260567,12800,1
refit_orth,fz,bias2,0.019621437415480614,12800,1
refit_orth,fz,var,0.00011370800348231569,12800,1
refit,y,mspe,0.9882002472877502,12800,16
refit,y,bias2,0.9838771224021912,12800,16
refit,y,var,0.004323179367929697,12800,16
refit,fx,mspe,0.006934709381312132,12800,16
refit,fx,bias2,0.0048432196490466595,12800,16
refit,fx,var,0.002091490663588047,12800,16
refit,fr,mspe,0.02742667868733406,12800,16
refit,fr,bias2,0.02533518709242344,12800,16
refit,fr,var,0.002091490663588047,12800,16
refit,fz,mspe,0.004366788547486067,12800,16
refit,fz,bias2,0.0014506045263260603,12800,16
refit,fz,var,0.0029161840211600065,12800,16
refit_orth,y,mspe,0.9882020354270935,12800,16
refit_orth,y,bias2,0.9838763475418091,12800,16
refit_orth,y,var,0.004325700458139181,12800,16
refit_orth,fx,mspe,0.025648226961493492,12800,16
refit_orth,fx,bias2,0.0238639023154974,12800,16
refit_orth,fx,var,0.0017843235982581973,12800,16
refit_orth,fr,mspe,0.004943518433719873,12800,16
refit_orth,fr,bias2,0.0031591944862157106,12800,16
refit_orth,fr,var,0.0017843235982581973,12800,16
refit_orth,fz,mspe,0.02417680062353611,12800,16
refit_orth,fz,bias2,0.021240709349513054,12800,16
refit_orth,fz,var,0.0029360929038375616,12800,16
refit,y,mspe,0.9585778117179871,12800,2
refit,y,bias2,0.9568887948989868,12800,2
refit,y,var,0.0016890499973669648,12800,2
refit,fx,mspe,0.0025620311498641968,12800,2
refit,fx,bias2,0.0009555590222589672,12800,2
refit,fx,var,0.0016064721858128905,12800,2
refit,fr,mspe,0.025318102911114693,12800,2
refit,fr,bias2,0.023711631074547768,12800,2
refit,fr,var,0.0016064721858128905,12800,2
refit,fz,mspe,0.0009433754021301866,12800,2
refit,fz,bias2,0.00027842316194437444,12800,2
refit,fz,var,0.0006649521528743207,12800,2
refit_orth,y,mspe,0.9585829973220825,12800,2
refit_orth,y,bias2,0.9568762183189392,12800,2
refit_orth,y,var,0.0017067213775590062,12800,2
refit_orth,fx,mspe,0.023624572902917862,12800,2
refit_orth,fx,bias2,0.022387566044926643,12800,2
refit_orth,fx,var,0.001237005926668644,12800,2
refit_orth,fr,mspe,0.0019430142128840089,12800,2
refit_orth,fr,bias2,0.000706008228007704,12800,2
refit_orth,fr,var,0.001237005926668644,12800,2
refit_orth,fz,mspe,0.02164527401328087,12800,2
refit_orth,fz,bias2,0.021246246993541718,12800,2
refit_orth,fz,var,0.0003990290279034525,12800,2
refit,y,mspe,1.0735955238342285,12800,4
refit,y,bias2,1.0714753866195679,12800,4
refit,y,var,0.002120109274983406,12800,4
refit,fx,mspe,0.00422181561589241,12800,4
refit,fx,bias2,0.002302710898220539,12800,4
refit,fx,var,0.0019191050669178367,12800,4
refit,fr,mspe,0.02591775357723236,12800,4
refit,fr,bias2,0.023998646065592766,12800,4
refit,fr,var,0.0019191050669178367,12800,4
refit,fz,mspe,0.0015098645817488432,12800,4
refit,fz,bias2,0.0002770285354927182,12800,4
refit,fz,var,0.0012328359298408031,12800,4
refit_orth,y,mspe,1.0735934972763062,12800,4
refit_orth,y,bias2,1.0714747905731201,12800,4
refit_orth,y,var,0.002118735108524561,12800,4
refit_orth,fx,mspe,0.024423208087682724,12800,4
refit_orth,fx,bias2,0.023019900545477867,12800,4
refit_orth,fx,var,0.0014033103361725807,12800,4
refit_orth,fr,mspe,0.003347873454913497,12800,4
refit_orth,fr,bias2,0.00194456335157156,12800,4
refit_orth,fr,var,0.0014033103361725807,12800,4
refit_orth,fz,mspe,0.022301914170384407,12800,4
refit_orth,fz,bias2,0.02161039039492607,12800,4
refit_orth,fz,var,0.0006915244739502668,12800,4
refit,y,mspe,1.0312427282333374,12800,8
refit,y,bias2,1.0283986330032349,12800,8
refit,y,var,0.002844069618731737,12800,8
refit,fx,mspe,0.005227982997894287,12800,8
refit,fx,bias2,0.0032276997808367014,12800,8
refit,fx,var,0.0020002832170575857,12800,8
refit,fr,mspe,0.028549639508128166,12800,8
refit,fr,bias2,0.026549354195594788,12800,8
