model,effect,metric,value,n,q
refit,y,mspe,1.003312349319458,12800,1024
refit,y,bias2,1.0021682977676392,12800,1024
refit,y,var,0.0011441005626693368,12800,1024
refit,fx,mspe,0.0014383004745468497,12800,1024
refit,fx,bias2,0.0002906877489294857,12800,1024
refit,fx,var,0.0011476125800982118,12800,1024
refit,fr,mspe,0.021041488274931908,12800,1024
refit,fr,bias2,0.01989387534558773,12800,1024
refit,fr,var,0.0011476125800982118,12800,1024
refit,fz,mspe,0.0002462858392391354,12800,1024
refit,fz,bias2,1.2686764705449605e-07,12800,1024
refit,fz,var,0.000246158946538344,12800,1024
refit_orth,y,mspe,1.0033127069473267,12800,1024
refit_orth,y,bias2,1.0021687746047974,12800,1024
refit_orth,y,var,0.0011439479421824217,12800,1024
refit_orth,fx,mspe,0.020681004971265793,12800,1024
refit_orth,fx,bias2,0.019732153043150902,12800,1024
refit_orth,fx,var,0.0009488523937761784,12800,1024
refit_orth,fr,mspe,0.0012393365614116192,12800,1024
refit_orth,fr,bias2,0.0002904841094277799,12800,1024
refit_orth,fr,var,0.0009488523937761784,12800,1024
refit_orth,fz,mspe,0.019735144451260567,12800,1024
refit_orth,fz,bias2,0.019621437415480614,12800,1024
refit_orth,fz,var,0.00011370802531018853,12800,1024
refit,y,mspe,1.0036532878875732,12800,128
refit,y,bias2,1.0025360584259033,12800,128
refit,y,var,0.0011171691585332155,12800,128
refit,fx,mspe,0.0014136406825855374,12800,128
refit,fx,bias2,0.00029199456912465394,12800,128
refit,fx,var,0.0011216460261493921,12800,128
refit,fr,mspe,0.02140592597424984,12800,128
refit,fr,bias2,0.020284276455640793,12800,128
refit,fr,var,0.0011216460261493921,12800,128
refit,fz,mspe,0.0002635520650073886,12800,128
refit,fz,bias2,1.7555612430442125e-06,12800,128
refit,fz,var,0.0002617965219542384,12800,128
refit_orth,y,mspe,1.0036545991897583,12800,128
refit_orth,y,bias2,1.0025372505187988,12800,128
refit_orth,y,var,0.001117355190217495,12800,128
refit_orth,fx,mspe,0.020692214369773865,12800,128
refit_orth,fx,bias2,0.019768405705690384,12800,128
refit_orth,fx,var,0.0009238084312528372,12800,128
refit_orth,fr,mspe,0.0012125411303713918,12800,128
refit_orth,fr,bias2,0.00028873287374153733,12800,128
refit_orth,fr,var,0.0009238084312528372,12800,128
refit_orth,fz,mspe,0.019735146313905716,12800,128
refit_orth,fz,bias2,0.019621437415480614,12800,128
refit_orth,fz,var,0.00011370803258614615,12800,128
refit,y,mspe,1.0037411451339722,12800,16
refit,y,bias2,1.0027121305465698,12800,16
refit,y,var,0.001029066275805235,12800,16
refit,fx,mspe,0.0013787948992103338,12800,16
refit,fx,bias2,0.0003745987778529525,12800,16
refit,fx,var,0.0010041962377727032,12800,16
refit,fr,mspe,0.022051839157938957,12800,16
refit,fr,bias2,0.021047644317150116,12800,16
refit,fr,var,0.0010041962377727032,12800,16
refit,fz,mspe,0.00022627637372352183,12800,16
refit,fz,bias2,1.3354447219171561e-05,12800,16
refit,fz,var,0.00021292190649546683,12800,16
refit_orth,y,mspe,1.003736138343811,12800,16
refit_orth,y,bias2,1.0027073621749878,12800,16
refit_orth,y,var,0.0010287812910974026,12800,16
refit_orth,fx,mspe,0.020651662722229958,12800,16
refit_orth,fx,bias2,0.01981036178767681,12800,16
refit_orth,fx,var,0.0008412992465309799,12800,16
refit_orth,fr,mspe,0.0011980824638158083,12800,16
refit_orth,fr,bias2,0.00035678312997333705,12800,16
refit_orth,fr,var,0.0008412992465309799,12800,16
refit_orth,fz,mspe,0.019735146313905716,12800,16
refit_orth,fz,bias2,0.019621437415480614,12800,16
refit_orth,fz,var,0.0001137079088948667,12800,16
refit,y,mspe,1.0123211145401,12800,2
refit,y,bias2,1.0105113983154297,12800,2
refit,y,var,0.0018097296124324203,12800,2
refit,fx,mspe,0.0098334439098835,12800,2
refit,fx,bias2,0.007766386494040489,12800,2
refit,fx,var,0.002067058114334941,12800,2
refit,fr,mspe,0.04546131193637848,12800,2
refit,fr,bias2,0.04339425638318062,12800,2
refit,fr,var,0.002067058114334941,12800,2
refit,fz,mspe,0.00392880430445075,12800,2
refit,fz,bias2,0.0033727025147527456,12800,2
refit,fz,var,0.0005561020807363093,12800,2
refit_orth,y,mspe,1.0123192071914673,12800,2
refit_orth,y,bias2,1.0105092525482178,12800,2
refit_orth,y,var,0.0018099284498021007,12800,2
refit_orth,fx,mspe,0.025739340111613274,12800,2
refit_orth,fx,bias2,0.024119220674037933,12800,2
refit_orth,fx,var,0.001620124327018857,12800,2
refit_orth,fr,mspe,0.006043194327503443,12800,2
refit_orth,fr,bias2,0.004423070698976517,12800,2
refit_orth,fr,var,0.001620124327018857,12800,2
refit_orth,fz,mspe,0.019735146313905716,12800,2
refit_orth,fz,bias2,0.019621437415480614,12800,2
refit_orth,fz,var,0.0001137080616899766,12800,2
refit,y,mspe,1.0034916400909424,12800,256
refit,y,bias2,1.0023808479309082,12800,256
refit,y,var,0.00111085781827569,12800,256
refit,fx,mspe,0.0014480313984677196,12800,256
refit,fx,bias2,0.0002978314587380737,12800,256
refit,fx,var,0.0011501999106258154,12800,256
refit,fr,mspe,0.021522387862205505,12800,256
refit,fr,bias2,0.020372189581394196,12800,256
refit,fr,var,0.0011501999106258154,12800,256
refit,fz,mspe,0.0002909509348683059,12800,256
refit,fz,bias2,2.288644964210107e-06,12800,256
refit,fz,var,0.00028866229695267975,12800,256
refit_orth,y,mspe,1.003490924835205,12800,256
refit_orth,y,bias2,1.0023800134658813,12800,256
refit_orth,y,var,0.0011108849430456758,12800,256
refit_orth,fx,mspe,0.020661039277911186,12800,256
refit_orth,fx,bias2,0.019744830206036568,12800,256
refit_orth,fx,var,0.0009162083151750267,12800,256
refit_orth,fr,mspe,0.0012098151491954923,12800,256
refit_orth,fr,bias2,0.0002936068922281265,12800,256
refit_orth,fr,var,0.0009162083151750267,12800,256
refit_orth,fz,mspe,0.019735144451260567,12800,256
refit_orth,fz,bias2,0.019621437415480614,12800,256
refit_orth,fz,var,0.0001137079088948667,12800,256
refit,y,mspe,1.0036143064498901,12800,32
refit,y,bias2,1.0025913715362549,12800,32
refit,y,var,0.0010230944026261568,12800,32
refit,fx,mspe,0.0013294697273522615,12800,32
refit,fx,bias2,0.00032551109325140715,12800,32
refit,fx,var,0.0010039586341008544,12800,32
refit,fr,mspe,0.0218817088752985,12800,32
refit,fr,bias2,0.02087775059044361,12800,32
refit,fr,var,0.0010039586341008544,12800,32
refit,fz,mspe,0.00022494794393423945,12800,32
refit,fz,bias2,1.0653005119820591e-05,12800,32
refit,fz,var,0.00021429493790492415,12800,32
refit_orth,y,mspe,1.003617286682129,12800,32
refit_orth,y,bias2,1.0025943517684937,12800,32
refit_orth,y,var,0.0010229441104456782,12800,32
refit_orth,fx,mspe,0.02060817740857601,12800,32
refit_orth,fx,bias2,0.019776253029704094,12800,32
refit_orth,fx,var,0.0008319264743477106,12800,32
refit_orth,fr,mspe,0.0011428662110120058,12800,32
refit_orth,fr,bias2,0.00031093982397578657,12800,32
refit_orth,fr,var,0.0008319264743477106,12800,32
refit_orth,fz,mspe,0.019735144451260567,12800,32
refit_orth,fz,bias2,0.019621437415480614,12800,32
refit_orth,fz,var,0.00011370800348231569,12800,32
refit,y,mspe,1.0054038763046265,12800,4
refit,y,bias2,1.0041148662567139,12800,4
refit,y,var,0.0012889369390904903,12800,4
refit,fx,mspe,0.0025687653105705976,12800,4
refit,fx,bias2,0.0011614063987508416,12800,4
refit,fx,var,0.0014073592610657215,12800,4
refit,fr,mspe,0.026365209370851517,12800,4
refit,fr,bias2,0.024957850575447083,12800,4
refit,fr,var,0.0014073592610657215,12800,4
refit,fz,mspe,0.0006178479525260627,12800,4
refit,fz,bias2,0.00021666649263352156,12800,4
refit,fz,var,0.0004011815181002021,12800,4
refit_orth,y,mspe,1.0054067373275757,12800,4
refit_orth,y,bias2,1.004117488861084,12800,4
refit_orth,y,var,0.0012892888626083732,12800,4
refit_orth,fx,mspe,0.021447312086820602,12800,4
refit_orth,fx,bias2,0.020346440374851227,12800,4
refit_orth,fx,var,0.0011008742731064558,12800,4
refit_orth,fr,mspe,0.0020250759553164244,12800,4
refit_orth,fr,bias2,0.0009242017404176295,12800,4
refit_orth,fr,var,0.0011008742731064558,12800,4
refit_orth,fz,mspe,0.019735144451260567,12800,4
refit_orth,fz,bias2,0.019621437415480614,12800,4
refit_orth,fz,var,0.00011370803986210376,12800,4
refit,y,mspe,1.00358247756958,12800,512
refit,y,bias2,1.0024653673171997,12800,512
refit,y,var,0.0011171273654326797,12800,512
refit,fx,mspe,0.0014292821288108826,12800,512
refit,fx,bias2,0.00027470997883938253,12800,512
refit,fx,var,0.0011545721208676696,12800,512
refit,fr,mspe,0.02127019315958023,12800,512
refit,fr,bias2,0.020115621387958527,12800,512
refit,fr,var,0.0011545721208676696,12800,512
refit,fz,mspe,0.00027603807393461466,12800,512
refit,fz,bias2,6.92467438057065e-07,12800,512
refit,fz,var,0.0002753456064965576,12800,512
refit_orth,y,mspe,1.0035830736160278,12800,512
refit_orth,y,bias2,1.002465844154358,12800,512
refit_orth,y,var,0.0011171386577188969,12800,512
refit_orth,fx,mspe,0.02068864181637764,12800,512
refit_orth,fx,bias2,0.01976163685321808,12800,512
refit_orth,fx,var,0.0009270052541978657,12800,512
refit_orth,fr,mspe,0.001200393307954073,12800,512
refit_orth,fr,bias2,0.00027338811196386814,12800,512
refit_orth,fr,var,0.0009270052541978657,12800,512
refit_orth,fz,mspe,0.019735146313905716,12800,512
refit_orth,fz,bias2,0.019621439278125763,12800,512
refit_orth,fz,var,0.00011370807624189183,12800,512
refit,y,mspe,1.0037527084350586,12800,64
refit,y,bias2,1.0025608539581299,12800,64
refit,y,var,0.0011917762458324432,12800,64
refit,fx,mspe,0.001525410101749003,12800,64
refit,fx,bias2,0.00031075545120984316,12800,64
refit,fx,var,0.0012146546505391598,12800,64
refit,fr,mspe,0.02190614677965641,12800,64
refit,fr,bias2,0.02069149538874626,12800,64
refit,fr,var,0.0012146546505391598,12800,64
refit,fz,mspe,0.0002736255992203951,12800,64
refit,fz,bias2,7.69211237638956e-06,12800,64
refit,fz,var,0.00026593345683068037,12800,64
refit_orth,y,mspe,1.0038886070251465,12800,64
refit_orth,y,bias2,1.0027416944503784,12800,64
refit_orth,y,var,0.001146972645074129,12800,64
refit_orth,fx,mspe,0.02077419124543667,12800,64
refit_orth,fx,bias2,0.019821714609861374,12800,64
refit_orth,fx,var,0.0009524771012365818,12800,64
refit_orth,fr,mspe,0.001270889537408948,12800,64
refit_orth,fr,bias2,0.00031841237796470523,12800,64
refit_orth,fr,var,0.0009524771012365818,12800,64
refit_orth,fz,mspe,0.019735144451260567,12800,64
refit_orth,fz,bias2,0.019621437415480614,12800,64
refit_orth,fz,var,0.00011370807624189183,12800,64
refit,y,mspe,1.0044071674346924,12800,8
refit,y,bias2,1.0033944845199585,12800,8
refit,y,var,0.0010126613778993487,12800,8
refit,fx,mspe,0.0015520751476287842,12800,8
refit,fx,bias2,0.0005693287239409983,12800,8
refit,fx,var,0.0009827464818954468,12800,8
refit,fr,mspe,0.022501373663544655,12800,8
refit,fr,bias2,0.02151862531900406,12800,8
refit,fr,var,0.0009827464818954468,12800,8
refit,fz,mspe,0.00027062720619142056,12800,8
refit,fz,bias2,1.960714507731609e-05,12800,8
refit,fz,var,0.0002510200720280409,12800,8
refit_orth,y,mspe,1.0044037103652954,12800,8
refit_orth,y,bias2,1.003390908241272,12800,8
refit_orth,y,var,0.0010127484565600753,12800,8
refit_orth,fx,mspe,0.020759930834174156,12800,8
refit_orth,fx,bias2,0.01993580348789692,12800,8
refit_orth,fx,var,0.000824127288069576,12800,8
refit_orth,fr,mspe,0.001365538570098579,12800,8
refit_orth,fr,bias2,0.0005414111074060202,12800,8
refit_orth,fr,var,0.000824127288069576,12800,8
refit_orth,fz,mspe,0.019735142588615417,12800,8
refit_orth,fz,bias2,0.019621437415480614,12800,8
refit_orth,fz,var,0.00011370770516805351,12800,8
refit,y,mspe,1.0118451118469238,1600,1024
refit,y,bias2,1.0055227279663086,1600,1024
refit,y,var,0.006322368513792753,1600,1024
refit,fx,mspe,0.00789900217205286,1600,1024
refit,fx,bias2,0.0024554997216910124,1600,1024
refit,fx,var,0.0054435026831924915,1600,1024
refit,fr,mspe,0.03156469017267227,1600,1024
refit,fr,bias2,0.026121189817786217,1600,1024
refit,fr,var,0.0054435026831924915,1600,1024
refit,fz,mspe,0.0025406470522284508,1600,1024
refit,fz,bias2,0.00014544169243890792,1600,1024
refit,fz,var,0.002395205432549119,1600,1024
refit_orth,y,mspe,1.0118467807769775,1600,1024
refit_orth,y,bias2,1.0055241584777832,1600,1024
refit_orth,y,var,0.0063225943595170975,1600,1024
refit_orth,fx,mspe,0.026691896840929985,1600,1024
refit_orth,fx,bias2,0.022297797724604607,1600,1024
refit_orth,fx,var,0.004394099116325378,1600,1024
refit_orth,fr,mspe,0.00663086399435997,1600,1024
refit_orth,fr,bias2,0.0022367655765265226,1600,1024
refit_orth,fr,var,0.004394099116325378,1600,1024
refit_orth,fz,mspe,0.022188810631632805,1600,1024
refit_orth,fz,bias2,0.020903052762150764,1600,1024
refit_orth,fz,var,0.0012857596157118678,1600,1024
refit,y,mspe,1.0130428075790405,1600,128
refit,y,bias2,1.0064448118209839,1600,128
refit,y,var,0.006597976665943861,1600,128
refit,fx,mspe,0.008363072760403156,1600,128
refit,fx,bias2,0.002681850455701351,1600,128
refit,fx,var,0.005681222770363092,1600,128
refit,fr,mspe,0.033886343240737915,1600,128
refit,fr,bias2,0.02820512093603611,1600,128
refit,fr,var,0.005681222770363092,1600,128
refit,fz,mspe,0.0028613009490072727,1600,128
refit,fz,bias2,0.0003617320326156914,1600,128
refit,fz,var,0.002499569207429886,1600,128
refit_orth,y,mspe,1.01304292678833,1600,128
refit_orth,y,bias2,1.006445050239563,1600,128
refit_orth,y,var,0.00659794919192791,1600,128
refit_orth,fx,mspe,0.027019934728741646,1600,128
refit_orth,fx,bias2,0.022370057180523872,1600,128
refit_orth,fx,var,0.004649878479540348,1600,128
refit_orth,fr,mspe,0.0068702674470841885,1600,128
refit_orth,fr,bias2,0.002220389200374484,1600,128
refit_orth,fr,var,0.004649878479540348,1600,128
refit_orth,fz,mspe,0.022188816219568253,1600,128
refit_orth,fz,bias2,0.020903058350086212,1600,128
refit_orth,fz,var,0.0012857596157118678,1600,128
refit,y,mspe,1.0128724575042725,1600,16
refit,y,bias2,1.006230115890503,1600,16
refit,y,var,0.0066422950476408005,1600,16
refit,fx,mspe,0.0085251834243536,1600,16
refit,fx,bias2,0.0027089437935501337,1600,16
refit,fx,var,0.005816238932311535,1600,16
refit,fr,mspe,0.03445924445986748,1600,16
refit,fr,bias2,0.02864300273358822,1600,16
refit,fr,var,0.005816238932311535,1600,16
refit,fz,mspe,0.002827573334798217,1600,16
refit,fz,bias2,0.0004326876369304955,1600,16
refit,fz,var,0.0023948855232447386,1600,16
refit_orth,y,mspe,1.012961983680725,1600,16
refit_orth,y,bias2,1.0063241720199585,1600,16
refit_orth,y,var,0.006637935061007738,1600,16
refit_orth,fx,mspe,0.027043603360652924,1600,16
refit_orth,fx,bias2,0.02240096591413021,1600,16
refit_orth,fx,var,0.004642638377845287,1600,16
refit_orth,fr,mspe,0.006816348992288113,1600,16
refit_orth,fr,bias2,0.002173710847273469,1600,16
refit_orth,fr,var,0.004642638377845287,1600,16
refit_orth,fz,mspe,0.022188808768987656,1600,16
refit_orth,fz,bias2,0.020903050899505615,1600,16
refit_orth,fz,var,0.0012857585679739714,1600,16
refit,y,mspe,1.0220935344696045,1600,2
refit,y,bias2,1.0163071155548096,1600,2
refit,y,var,0.005786424968391657,1600,2
refit,fx,mspe,0.015690870583057404,1600,2
refit,fx,bias2,0.010885100811719894,1600,2
refit,fx,var,0.004805771633982658,1600,2
refit,fr,mspe,0.05010461434721947,1600,2
refit,fr,bias2,0.04529884457588196,1600,2
refit,fr,var,0.004805771633982658,1600,2
refit,fz,mspe,0.004680912010371685,1600,2
refit,fz,bias2,0.002595465164631605,1600,2
refit,fz,var,0.0020854466129094362,1600,2
refit_orth,y,mspe,1.0220929384231567,1600,2
refit_orth,y,bias2,1.0163061618804932,1600,2
refit_orth,y,var,0.0057868193835020065,1600,2
refit_orth,fx,mspe,0.03197472542524338,1600,2
refit_orth,fx,bias2,0.028208589181303978,1600,2
refit_orth,fx,var,0.0037661332171410322,1600,2
refit_orth,fr,mspe,0.011799153871834278,1600,2
refit_orth,fr,bias2,0.008033021353185177,1600,2
refit_orth,fr,var,0.0037661332171410322,1600,2
refit_orth,fz,mspe,0.022188810631632805,1600,2
refit_orth,fz,bias2,0.020903052762150764,1600,2
refit_orth,fz,var,0.0012857598485425115,1600,2
refit,y,mspe,1.0118892192840576,1600,256
refit,y,bias2,1.0057567358016968,1600,256
refit,y,var,0.006132389418780804,1600,256
refit,fx,mspe,0.007434407249093056,1600,256
refit,fx,bias2,0.002383026760071516,1600,256
refit,fx,var,0.00505138048902154,1600,256
refit,fr,mspe,0.032431501895189285,1600,256
refit,fr,bias2,0.027380123734474182,1600,256
refit,fr,var,0.00505138048902154,1600,256
refit,fz,mspe,0.0024437056854367256,1600,256
refit,fz,bias2,0.0002879586536437273,1600,256
refit,fz,var,0.0021557470317929983,1600,256
refit_orth,y,mspe,1.0118892192840576,1600,256
refit_orth,y,bias2,1.0057567358016968,1600,256
refit_orth,y,var,0.006132372189313173,1600,256
refit_orth,fx,mspe,0.026308808475732803,1600,256
refit_orth,fx,bias2,0.022101743146777153,1600,256
refit_orth,fx,var,0.004207068122923374,1600,256
refit_orth,fr,mspe,0.006205844692885876,1600,256
refit_orth,fr,bias2,0.001998777501285076,1600,256
refit_orth,fr,var,0.004207068122923374,1600,256
refit_orth,fz,mspe,0.022188816219568253,1600,256
refit_orth,fz,bias2,0.020903058350086212,1600,256
refit_orth,fz,var,0.001285759499296546,1600,256
refit,y,mspe,1.0131324529647827,1600,32
refit,y,bias2,1.006831169128418,1600,32
refit,y,var,0.006301338784396648,1600,32
refit,fx,mspe,0.007971520535647869,1600,32
refit,fx,bias2,0.0024881737772375345,1600,32
refit,fx,var,0.005483346059918404,1600,32
refit,fr,mspe,0.03364508971571922,1600,32
refit,fr,bias2,0.02816174179315567,1600,32
refit,fr,var,0.005483346059918404,1600,32
refit,fz,mspe,0.002643459476530552,1600,32
refit,fz,bias2,0.0003831266367342323,1600,32
