model,effect,metric,value,bz,n
posthoc_xfit,y,mspe,1.0031371116638184,0,12800
posthoc_xfit,y,bias2,1.0010437965393066,0,12800
posthoc_xfit,y,var,0.002093343995511532,0,12800
posthoc_xfit,fx,mspe,0.0013453395804390311,0,12800
posthoc_xfit,fx,bias2,0.00032843148801475763,0,12800
posthoc_xfit,fx,var,0.0010169080924242735,0,12800
posthoc_xfit,fr,mspe,0.019065547734498978,0,12800
posthoc_xfit,fr,bias2,0.018048638477921486,0,12800
posthoc_xfit,fr,var,0.0010169080924242735,0,12800
posthoc_xfit,fz,mspe,0.0012873305240646005,0,12800
posthoc_xfit,fz,bias2,7.513578748330474e-05,0,12800
posthoc_xfit,fz,var,0.0012121946783736348,0,12800
posthoc_orth_xfit,y,mspe,1.0030910968780518,0,12800
posthoc_orth_xfit,y,bias2,1.000999093055725,0,12800
posthoc_orth_xfit,y,var,0.0020919786766171455,0,12800
posthoc_orth_xfit,fx,mspe,0.020696429535746574,0,12800
posthoc_orth_xfit,fx,bias2,0.019722778350114822,0,12800
posthoc_orth_xfit,fx,var,0.0009736494976095855,0,12800
posthoc_orth_xfit,fr,mspe,0.0012596730375662446,0,12800
posthoc_orth_xfit,fr,bias2,0.0002860235399566591,0,12800
posthoc_orth_xfit,fr,var,0.0009736494976095855,0,12800
posthoc_orth_xfit,fz,mspe,0.020828571170568466,0,12800
posthoc_orth_xfit,fz,bias2,0.019577588886022568,0,12800
posthoc_orth_xfit,fz,var,0.0012509842636063695,0,12800
posthoc_xfit,y,mspe,1.0048134326934814,0.5,12800
posthoc_xfit,y,bias2,1.0027278661727905,0.5,12800
posthoc_xfit,y,var,0.0020856610499322414,0.5,12800
posthoc_xfit,fx,mspe,0.0015107985818758607,0.5,12800
posthoc_xfit,fx,bias2,0.00045068905455991626,0.5,12800
posthoc_xfit,fx,var,0.0010601095855236053,0.5,12800
posthoc_xfit,fr,mspe,0.021639158949255943,0.5,12800
posthoc_xfit,fr,bias2,0.020579049363732338,0.5,12800
posthoc_xfit,fr,var,0.0010601095855236053,0.5,12800
posthoc_xfit,fz,mspe,0.0013543914537876844,0.5,12800
posthoc_xfit,fz,bias2,4.208553582429886e-05,0.5,12800
posthoc_xfit,fz,var,0.0013123059179633856,0.5,12800
posthoc_orth_xfit,y,mspe,1.004844069480896,0.5,12800
posthoc_orth_xfit,y,bias2,1.002740502357483,0.5,12800
posthoc_orth_xfit,y,var,0.0021034814417362213,0.5,12800
posthoc_orth_xfit,fx,mspe,0.020795779302716255,0.5,12800
posthoc_orth_xfit,fx,bias2,0.019812174141407013,0.5,12800
posthoc_orth_xfit,fx,var,0.000983604695647955,0.5,12800
posthoc_orth_xfit,fr,mspe,0.0014170233625918627,0.5,12800
posthoc_orth_xfit,fr,bias2,0.0004334188997745514,0.5,12800
posthoc_orth_xfit,fr,var,0.000983604695647955,0.5,12800
posthoc_orth_xfit,fz,mspe,0.02085505984723568,0.5,12800
posthoc_orth_xfit,fz,bias2,0.019574802368879318,0.5,12800
posthoc_orth_xfit,fz,var,0.0012802605051547289,0.5,12800
posthoc_xfit,y,mspe,1.0047894716262817,1,12800
posthoc_xfit,y,bias2,1.0026246309280396,1,12800
posthoc_xfit,y,var,0.0021647403482347727,1,12800
posthoc_xfit,fx,mspe,0.0017722997581586242,1,12800
posthoc_xfit,fx,bias2,0.0005920241237618029,1,12800
