model,effect,metric,value,bz,n
refit,y,mspe,1.0028990507125854,0,12800
refit,y,bias2,1.0017399787902832,0,12800
refit,y,var,0.001159034320153296,0,12800
refit,fx,mspe,0.0013624890707433224,0,12800
refit,fx,bias2,0.0003175984602421522,0,12800
refit,fx,var,0.0010448906105011702,0,12800
refit,fr,mspe,0.019637534394860268,0,12800
refit,fr,bias2,0.01859264448285103,0,12800
refit,fr,var,0.0010448906105011702,0,12800
refit,fz,mspe,0.00023419054923579097,0,12800
refit,fz,bias2,2.0753173885168508e-05,0,12800
refit,fz,var,0.00021343736443668604,0,12800
refit_orth,y,mspe,1.0029375553131104,0,12800
refit_orth,y,bias2,1.0017614364624023,0,12800
refit_orth,y,var,0.0011761036003008485,0,12800
refit_orth,fx,mspe,0.020588641986250877,0,12800
refit_orth,fx,bias2,0.01963242143392563,0,12800
refit_orth,fx,var,0.0009562189225107431,0,12800
refit_orth,fr,mspe,0.0012534077977761626,0,12800
refit_orth,fr,bias2,0.00029718875885009766,0,12800
refit_orth,fr,var,0.0009562189225107431,0,12800
refit_orth,fz,mspe,0.019522136077284813,0,12800
refit_orth,fz,bias2,0.01939588226377964,0,12800
refit_orth,fz,var,0.00012625299859791994,0,12800
refit,y,mspe,1.0337793827056885,0.5,12800
refit,y,bias2,1.0314422845840454,0.5,12800
refit,y,var,0.0023371377028524876,0.5,12800
refit,fx,mspe,0.0038222651928663254,0.5,12800
refit,fx,bias2,0.001436715479940176,0.5,12800
refit,fx,var,0.0023855494800955057,0.5,12800
refit,fr,mspe,0.025563472881913185,0.5,12800
refit,fr,bias2,0.023177923634648323,0.5,12800
refit,fr,var,0.0023855494800955057,0.5,12800
refit,fz,mspe,0.0514279380440712,0.5,12800
refit,fz,bias2,0.05101422965526581,0.5,12800
refit,fz,var,0.0004137009382247925,0.5,12800
refit_orth,y,mspe,1.033768892288208,0.5,12800
refit_orth,y,bias2,1.0314452648162842,0.5,12800
refit_orth,y,var,0.002323692664504051,0.5,12800
refit_orth,fx,mspe,0.022772161290049553,0.5,12800
refit_orth,fx,bias2,0.020671077072620392,0.5,12800
refit_orth,fx,var,0.0021010867785662413,0.5,12800
