method,N,seed,mspe_y,mspe_fx,mspe_fz,corr_fx_z,b_z_hat,val_loss
baseline,100,4,1.0202027559280396,0.03380633145570755,0.08104897290468216,0.6595473405022596,nan,0.9524052095413208
baseline,100,9,0.9995346665382385,0.07284637540578842,0.08104897290468216,0.7380693826028222,nan,1.245128047466278
baseline,100,6,1.0018212795257568,0.10242665559053421,0.08104897290468216,0.8363872326059257,nan,1.1566577911376954
baseline,100,1,1.1595488786697388,0.061937928199768066,0.08104897290468216,0.3228472344894552,nan,0.7816287159919739
baseline,100,7,1.0378421545028687,0.0663871243596077,0.08104897290468216,0.7142102234439544,nan,0.8863308191299438
baseline,100,8,1.0331833362579346,0.14679765701293945,0.08104897290468216,0.8385392519242438,nan,0.8258792519569397
baseline,100,2,1.1582096815109253,0.16212639212608337,0.08104897290468216,0.32775537180302444,nan,1.0802023375034333
baseline,100,3,0.9854130148887634,0.11811741441488266,0.08104897290468216,0.7088209030712113,nan,0.9947050213813782
baseline,100,0,1.0129990577697754,0.05836250260472298,0.08104897290468216,0.6619081802759743,nan,1.202751212120056
baseline,100,5,1.0301094055175781,0.19730879366397858,0.08104897290468216,0.7924676944288708,nan,0.8261223459243774
baseline,200,0,0.9891403317451477,0.05369707569479942,0.08104897290468216,0.672581024582228,nan,0.8525507301092148
baseline,200,2,1.0143709182739258,0.09487950801849365,0.08104897290468216,0.8405529298875766,nan,1.1820352375507355
baseline,200,5,0.9838132262229919,0.032979127019643784,0.08104897290468216,0.5653250272054648,nan,1.0695942491292953
baseline,200,3,1.0955727100372314,0.3320010006427765,0.08104897290468216,0.6452222427279124,nan,0.9314847141504288
baseline,200,1,1.1684436798095703,0.4071348309516907,0.08104897290468216,0.7494932629291288,nan,1.049211010336876
baseline,200,8,0.9991860389709473,0.11667326092720032,0.08104897290468216,0.6164621028711185,nan,1.0081858485937119
baseline,200,9,0.9724429845809937,0.08458098024129868,0.08104897290468216,0.6777912986960827,nan,1.3152536898851395
baseline,200,6,1.0026971101760864,0.16352000832557678,0.08104897290468216,0.7991766682523106,nan,0.8897417932748795
baseline,200,4,1.006721019744873,0.09091794490814209,0.08104897290468216,0.826899193179531,nan,1.0797576755285263
baseline,200,7,1.004098892211914,0.20160040259361267,0.08104897290468216,0.7478915147096206,nan,0.8727991580963135
baseline,400,2,0.9970452189445496,0.07040530443191528,0.08104897290468216,0.7788528556472955,nan,0.8568380028009415
baseline,400,0,1.0128576755523682,0.04837223142385483,0.08104897290468216,0.4731704146145551,nan,1.100074678659439
baseline,400,4,0.9932651519775391,0.057890936732292175,0.08104897290468216,0.6856363866847268,nan,0.8727928847074509
baseline,400,3,0.9824016094207764,0.06966599076986313,0.08104897290468216,0.6272289330352425,nan,1.1085664182901382
baseline,400,5,0.9734060764312744,0.06193828582763672,0.08104897290468216,0.5444828036603558,nan,1.0166122764348984
baseline,400,9,0.9745184183120728,0.09008796513080597,0.08104897290468216,0.5964900043728917,nan,1.063579797744751
baseline,400,1,0.9708524942398071,0.06831354647874832,0.08104897290468216,0.6062707924232302,nan,0.9769473522901535
baseline,400,7,0.9919142127037048,0.13512510061264038,0.08104897290468216,0.7145357485824788,nan,0.8961123377084732
baseline,400,6,0.9787575006484985,0.05478939786553383,0.08104897290468216,0.6420137552929766,nan,1.0098524391651154
baseline,400,8,0.9760245680809021,0.09431259334087372,0.08104897290468216,0.718031368830745,nan,0.8951308876276016
baseline,800,0,0.980054497718811,0.09506338089704514,0.08104897290468216,0.7397827952087516,nan,0.94423508644104
baseline,800,3,0.9810348749160767,0.09610221534967422,0.08104897290468216,0.6946211113455062,nan,1.0146876907348632
baseline,800,2,0.9773862957954407,0.052236441522836685,0.08104897290468216,0.6635881377231961,nan,1.0225830364227295
baseline,800,8,0.9829587936401367,0.053225357085466385,0.08104897290468216,0.6141116520876179,nan,1.1757863807678222
baseline,800,1,0.9775301218032837,0.09829110652208328,0.08104897290468216,0.7385110338967674,nan,1.0088318729400634
baseline,800,7,0.9874647259712219,0.05766185745596886,0.08104897290468216,0.7021800526398044,nan,1.037782917022705
baseline,800,5,0.9964228868484497,0.06441318243741989,0.08104897290468216,0.7240100354434361,nan,0.9651786136627197
baseline,800,4,0.9740586876869202,0.08201216161251068,0.08104897290468216,0.6634229323184088,nan,1.138250825405121
baseline,800,6,0.9748216867446899,0.043294213712215424,0.08104897290468216,0.626526853177331,nan,0.9641182899475098
baseline,800,9,0.975426435470581,0.08310053497552872,0.08104897290468216,0.637294549324204,nan,0.9722058916091919
baseline,1600,1,0.9797185063362122,0.07794015109539032,0.08104897290468216,0.7488591782301265,nan,1.0813371014595032
baseline,1600,0,0.9947057962417603,0.07781081646680832,0.08104897290468216,0.7670535033522482,nan,1.0639662861824035
baseline,1600,2,0.9841306209564209,0.07739245891571045,0.08104897290468216,0.7553862541499545,nan,1.0101253056526185
baseline,1600,3,0.9763970375061035,0.09241360425949097,0.08104897290468216,0.6796205157152121,nan,1.005725998878479
baseline,1600,6,0.981634259223938,0.0737711638212204,0.08104897290468216,0.6715355030636804,nan,0.918962664604187
baseline,1600,8,0.9807344079017639,0.05036064237356186,0.08104897290468216,0.685019552518319,nan,0.9538015604019165
baseline,1600,5,0.9786139726638794,0.09893327206373215,0.08104897290468216,0.7245180326167361,nan,1.0109681868553162
baseline,1600,9,0.9717270731925964,0.07475263625383377,0.08104897290468216,0.6698708696290334,nan,1.0551694083213805
baseline,1600,7,0.9805623888969421,0.08623103052377701,0.08104897290468216,0.7337339169719013,nan,0.8895577621459961
baseline,1600,4,0.9692744612693787,0.06522078812122345,0.08104897290468216,0.661321559922819,nan,0.9532749652862549
baseline,3200,0,0.9785370826721191,0.09305739402770996,0.08104897290468216,0.6998266694288269,nan,0.9876815581321716
baseline,3200,2,0.9792048931121826,0.0847427099943161,0.08104897290468216,0.7126773785908722,nan,1.0422638940811157
baseline,3200,1,0.9753502011299133,0.07410813122987747,0.08104897290468216,0.7150733310491775,nan,1.0309732270240783
baseline,3200,6,0.980365514755249,0.052478376775979996,0.08104897290468216,0.6886166264644151,nan,1.0310035943984985
baseline,3200,4,0.9734367728233337,0.07643114775419235,0.08104897290468216,0.6692736610098421,nan,1.05725816488266
baseline,3200,8,0.9697747826576233,0.07285110652446747,0.08104897290468216,0.676048174675187,nan,0.9741715288162232
baseline,3200,5,0.974711000919342,0.08061926811933517,0.08104897290468216,0.7106519198105422,nan,1.0002118158340454
baseline,3200,3,0.9823628664016724,0.09097450971603394,0.08104897290468216,0.74897320553832,nan,0.9643807077407837
baseline,3200,7,0.9736396670341492,0.056510064750909805,0.08104897290468216,0.6795626615676497,nan,1.0072972655296326
baseline,3200,9,0.9820680618286133,0.08836532384157181,0.08104897290468216,0.7274635624931907,nan,1.0448551321029662
baseline,6400,0,0.9802895188331604,0.08374372869729996,0.08104897290468216,0.6963350830250312,nan,1.0455647706985474
baseline,6400,1,0.974372923374176,0.08809386193752289,0.08104897290468216,0.7112140406538601,nan,0.9921087908744812
baseline,6400,3,0.9777126908302307,0.060675282031297684,0.08104897290468216,0.7021521151393806,nan,1.0055744683742522
baseline,6400,4,0.9721585512161255,0.07597025483846664,0.08104897290468216,0.7008708917337937,nan,0.9915616095066071
baseline,6400,7,0.9732183814048767,0.0660790428519249,0.08104897290468216,0.6821291818058547,nan,1.0244527900218963
baseline,6400,6,0.9757002592086792,0.07683136314153671,0.08104897290468216,0.7207576442215409,nan,0.9775449752807617
baseline,6400,2,0.9785778522491455,0.07834184169769287,0.08104897290468216,0.7308296957019902,nan,1.0087750339508057
baseline,6400,5,0.9778872132301331,0.0901254415512085,0.08104897290468216,0.7305831402183889,nan,0.9920361375808716
baseline,6400,8,0.9727803468704224,0.06853693723678589,0.08104897290468216,0.693339903251776,nan,1.0352088963985444
baseline,6400,9,0.9737352132797241,0.07934129983186722,0.08104897290468216,0.7098459905292935,nan,1.0292843067646027
baseline,12800,0,0.9753590226173401,0.0668322741985321,0.08104897290468216,0.7059609623793239,nan,1.0020241278409958
