,confounding,q,Run,Model,Metric,MSE,Bias,Var
0,False,16,0,NN,yhat,1.9947592,-0.045827944,1.9928583
1,False,16,0,NN,fxhat,0.0049456805,-0.029736023,0.004061856
2,False,16,0,NN,fzhat,0.9988769,-0.029472802,0.99810797
3,False,16,0,Covar NN,yhat,1.00273,-0.002082605,1.0028259
4,False,16,0,Covar NN,fxhat,0.0012424757,0.0091727795,0.0011584515
5,False,16,0,Covar NN,fzhat,0.0013130564,-0.02463626,0.00070618186
6,False,16,1,NN,yhat,1.9971483,0.046465646,1.9951886
7,False,16,1,NN,fxhat,0.008178096,0.06461687,0.0040031574
8,False,16,1,NN,fzhat,1.0116807,-0.028961608,1.010943
9,False,16,1,Covar NN,yhat,0.99186623,0.018094065,0.991638
10,False,16,1,Covar NN,fxhat,0.0032108552,0.030320572,0.0022917474
11,False,16,1,Covar NN,fzhat,0.0011766993,-0.023036903,0.00064606493
12,False,16,2,NN,yhat,1.9995369,0.0018135079,1.9997338
13,False,16,2,NN,fxhat,0.0024502852,0.020133711,0.0020451236
14,False,16,2,NN,fzhat,0.98663527,-0.014665239,0.9865189
15,False,16,2,Covar NN,yhat,1.0079299,0.022355154,1.0075309
16,False,16,2,Covar NN,fxhat,0.0012851993,0.011136488,0.0011612939
17,False,16,2,Covar NN,fzhat,0.00044745847,0.014873636,0.00022625612
18,False,16,3,NN,yhat,2.0129685,0.013034552,2.013
19,False,16,3,NN,fxhat,0.0031877737,0.002649388,0.0031810727
20,False,16,3,NN,fzhat,0.9702774,0.015043219,0.9701481
21,False,16,3,Covar NN,yhat,1.0106846,-0.008382207,1.0107154
22,False,16,3,Covar NN,fxhat,0.0013945575,0.0042076115,0.0013769912
23,False,16,3,Covar NN,fzhat,0.0014053641,-0.007931764,0.0013425854
24,False,16,4,NN,yhat,2.017389,0.022617344,2.017079
25,False,16,4,NN,fxhat,0.013456427,0.09749932,0.003950702
26,False,16,4,NN,fzhat,1.0209296,-0.08182697,1.0143354
27,False,16,4,Covar NN,yhat,1.005365,0.0074663726,1.0054098
28,False,16,4,Covar NN,fxhat,0.0025579594,0.036955114,0.0011923979
29,False,16,4,Covar NN,fzhat,0.0017257376,-0.036433727,0.0003983608
30,False,16,5,NN,yhat,1.9976662,0.0053026835,1.9978379
31,False,16,5,NN,fxhat,0.0041653854,0.005380173,0.004136853
32,False,16,5,NN,fzhat,0.99555725,-0.008191119,0.99558973
33,False,16,5,Covar NN,yhat,0.9856252,0.009265564,0.98563796
34,False,16,5,Covar NN,fxhat,0.0021415967,0.02065737,0.001715041
35,False,16,5,Covar NN,fzhat,0.0012704277,-0.019505437,0.0008900545
36,False,16,6,NN,yhat,1.9470524,-0.0045198244,1.9472266
37,False,16,6,NN,fxhat,0.006816484,-0.019398442,0.006440829
38,False,16,6,NN,fzhat,0.9872697,0.023972344,0.9867938
39,False,16,6,Covar NN,yhat,1.0002218,0.005572564,1.0002909
40,False,16,6,Covar NN,fxhat,0.0020588331,0.016077965,0.0018005124
41,False,16,6,Covar NN,fzhat,0.001585164,-0.0014116729,0.0015833295
42,False,16,7,NN,yhat,2.018217,0.0278052,2.0176456
43,False,16,7,NN,fxhat,0.003351346,0.030025665,0.00245005
44,False,16,7,NN,fzhat,0.99774003,-0.013983614,0.9976442
45,False,16,7,Covar NN,yhat,1.0088612,0.010980935,1.0088415
46,False,16,7,Covar NN,fxhat,0.001113417,-0.02332324,0.00056950044
47,False,16,7,Covar NN,fzhat,0.0009590943,0.022541031,0.00045104127
48,False,16,8,NN,yhat,2.0313082,-0.014293604,2.031307
49,False,16,8,NN,fxhat,0.008757954,-0.076669425,0.002880042
50,False,16,8,NN,fzhat,1.0256231,0.06618907,1.0213442
51,False,16,8,Covar NN,yhat,1.0057943,-0.016224941,1.0056314
52,False,16,8,Covar NN,fxhat,0.0060110046,-0.06593538,0.001663696
53,False,16,8,Covar NN,fzhat,0.0036382836,0.05352369,0.00077357556
54,False,16,9,NN,yhat,2.0473204,-0.01960821,2.0471406
55,False,16,9,NN,fxhat,0.010163766,0.07836122,0.00402369
56,False,16,9,NN,fzhat,1.0009336,-0.09312154,0.9923611
57,False,16,9,Covar NN,yhat,1.0280565,-0.030083133,1.0272542
58,False,16,9,Covar NN,fxhat,0.0026555022,0.038413517,0.0011800219
59,False,16,9,Covar NN,fzhat,0.0046552694,-0.063648775,0.0006041639
60,False,16,10,NN,yhat,2.0258083,0.026899705,2.0252874
61,False,16,10,NN,fxhat,0.0016630084,-0.007022941,0.001613848
62,False,16,10,NN,fzhat,0.9975331,0.029732239,0.99674886
63,False,16,10,Covar NN,yhat,1.0169612,0.0104415035,1.0169538
64,False,16,10,Covar NN,fxhat,0.0014118085,-0.0016114387,0.0014093528
65,False,16,10,Covar NN,fzhat,0.00060339575,0.00786254,0.0005416303
66,False,16,11,NN,yhat,1.9522406,-0.01581108,1.9521858
67,False,16,11,NN,fxhat,0.004553642,0.0074650873,0.004498364
68,False,16,11,NN,fzhat,0.99109334,-0.013262629,0.99101657
69,False,16,11,Covar NN,yhat,1.0013368,0.00883869,1.0013589
70,False,16,11,Covar NN,fxhat,0.0007830847,0.00048818297,0.0007829247
71,False,16,11,Covar NN,fzhat,0.0010335961,0.018364048,0.00069642754
72,False,16,12,NN,yhat,1.9887131,-0.02159407,1.9884456
73,False,16,12,NN,fxhat,0.002975746,0.03659875,0.0016364419
74,False,16,12,NN,fzhat,0.97878027,-0.055426642,0.9758058
75,False,16,12,Covar NN,yhat,1.0007493,0.0014073616,1.0008475
76,False,16,12,Covar NN,fxhat,0.0011152196,0.0045393803,0.001094723
77,False,16,12,Covar NN,fzhat,0.0006929906,-0.0003658411,0.000692926
78,False,16,13,NN,yhat,2.0180485,0.010866885,2.0181322
79,False,16,13,NN,fxhat,0.0019433638,0.008930819,0.0018637904
80,False,16,13,NN,fzhat,0.99750334,-0.011641518,0.9974675
81,False,16,13,Covar NN,yhat,0.9946205,0.0073234453,0.9946664
82,False,16,13,Covar NN,fxhat,0.002772072,0.029077196,0.0019267813
83,False,16,13,Covar NN,fzhat,0.001779052,-0.03533134,0.0005308013
84,False,16,14,NN,yhat,1.9772135,0.00769159,1.977352
85,False,16,14,NN,fxhat,0.0013205612,0.021898374,0.0008411067
86,False,16,14,NN,fzhat,0.98249036,-0.0017274218,0.98258555
87,False,16,14,Covar NN,yhat,0.99935323,-0.036054045,0.99815303
88,False,16,14,Covar NN,fxhat,0.0017532783,-0.031169051,0.0007818468
89,False,16,14,Covar NN,fzhat,0.0008151891,0.0075943694,0.00075759034
90,False,16,15,NN,yhat,2.0178108,-0.04325426,2.0161414
91,False,16,15,NN,fxhat,0.007818348,-0.043904625,0.0058913208
92,False,16,15,NN,fzhat,1.0184172,0.01724085,1.0182217
93,False,16,15,Covar NN,yhat,1.0101999,-0.030032111,1.0093988
