model,effect,metric,value,bz,n
base,y,mspe,0.24753215909004211,0,12800
base,y,bias2,0.24727006256580353,0,12800
base,y,var,0.0002620809245854616,0,12800
base,fx,mspe,0.004041904583573341,0,12800
base,fx,bias2,0.0007154567283578217,0,12800
base,fx,var,0.003326447680592537,0,12800
base,fr,mspe,0.020175423473119736,0,12800
base,fr,bias2,0.0168489757925272,0,12800
base,fr,var,0.003326447680592537,0,12800
base,fz,mspe,0.0,0,12800
base,fz,bias2,0.0,0,12800
base,fz,var,0.0,0,12800
posthoc,y,mspe,0.24748817086219788,0,12800
posthoc,y,bias2,0.24710334837436676,0,12800
posthoc,y,var,0.0003848361666314304,0,12800
posthoc,fx,mspe,0.006582560949027538,0,12800
posthoc,fx,bias2,0.0012330043828114867,0,12800
posthoc,fx,var,0.005349556915462017,0,12800
posthoc,fr,mspe,0.021200228482484818,0,12800
posthoc,fr,bias2,0.015850670635700226,0,12800
posthoc,fr,var,0.005349556915462017,0,12800
posthoc,fz,mspe,0.002769636455923319,0,12800
posthoc,fz,bias2,0.0004975832998752594,0,12800
posthoc,fz,var,0.002272053388878703,0,12800
posthoc_orth,y,mspe,0.247487410902977,0,12800
posthoc_orth,y,bias2,0.2471032291650772,0,12800
posthoc_orth,y,var,0.0003841872385237366,0,12800
posthoc_orth,fx,mspe,0.024386176839470863,0,12800
posthoc_orth,fx,bias2,0.019955625757575035,0,12800
posthoc_orth,fx,var,0.004430552013218403,0,12800
posthoc_orth,fr,mspe,0.005362704396247864,0,12800
posthoc_orth,fr,bias2,0.0009321524994447827,0,12800
posthoc_orth,fr,var,0.004430552013218403,0,12800
posthoc_orth,fz,mspe,0.021581899374723434,0,12800
posthoc_orth,fz,bias2,0.020391307771205902,0,12800
posthoc_orth,fz,var,0.0011905919527634978,0,12800
posthoc_web,y,mspe,0.2537462115287781,0,12800
posthoc_web,y,bias2,0.2531487047672272,0,12800
posthoc_web,y,var,0.0005975246895104647,0,12800
posthoc_web,fx,mspe,0.022744586691260338,0,12800
posthoc_web,fx,bias2,0.019711041823029518,0,12800
posthoc_web,fx,var,0.0030335444025695324,0,12800
posthoc_web,fr,mspe,0.003606724087148905,0,12800
posthoc_web,fr,bias2,0.0005731795099563897,0,12800
posthoc_web,fr,var,0.0030335444025695324,0,12800
posthoc_web,fz,mspe,0.0,0,12800
posthoc_web,fz,bias2,0.0,0,12800
posthoc_web,fz,var,0.0,0,12800
base,y,mspe,0.24595247209072113,0.5,12800
base,y,bias2,0.24567478895187378,0.5,12800
base,y,var,0.0002777104964479804,0.5,12800
base,fx,mspe,0.013669436797499657,0.5,12800
base,fx,bias2,0.009812922216951847,0.5,12800
base,fx,var,0.0038565152790397406,0.5,12800
base,fr,mspe,0.054868992418050766,0.5,12800
base,fr,bias2,0.05101247876882553,0.5,12800
base,fr,var,0.0038565152790397406,0.5,12800
base,fz,mspe,0.01948864758014679,0.5,12800
base,fz,bias2,0.01948864758014679,0.5,12800
base,fz,var,0.0,0.5,12800
posthoc,y,mspe,0.24523913860321045,0.5,12800
posthoc,y,bias2,0.24484312534332275,0.5,12800
posthoc,y,var,0.00039603575714863837,0.5,12800
posthoc,fx,mspe,0.006758675444871187,0.5,12800
posthoc,fx,bias2,0.0008921562694013119,0.5,12800
posthoc,fx,var,0.005866519175469875,0.5,12800
posthoc,fr,mspe,0.0283501073718071,0.5,12800
posthoc,fr,bias2,0.02248358726501465,0.5,12800
posthoc,fr,var,0.005866519175469875,0.5,12800
posthoc,fz,mspe,0.0022337171249091625,0.5,12800
posthoc,fz,bias2,2.621564817673061e-05,0.5,12800
posthoc,fz,var,0.0022075013257563114,0.5,12800
posthoc_orth,y,mspe,0.24523906409740448,0.5,12800
posthoc_orth,y,bias2,0.24484287202358246,0.5,12800
posthoc_orth,y,var,0.00039619437302462757,0.5,12800
posthoc_orth,fx,mspe,0.024911563843488693,0.5,12800
posthoc_orth,fx,bias2,0.0201342161744833,0.5,12800
posthoc_orth,fx,var,0.004777346737682819,0.5,12800
posthoc_orth,fr,mspe,0.005615224130451679,0.5,12800
posthoc_orth,fr,bias2,0.0008378772181458771,0.5,12800
posthoc_orth,fr,var,0.004777346737682819,0.5,12800
posthoc_orth,fz,mspe,0.021083679050207138,0.5,12800
posthoc_orth,fz,bias2,0.01997276023030281,0.5,12800
