model,effect,metric,value,n
base,y,mspe,1.0176186561584473,12800
base,y,bias2,1.0165690183639526,12800
base,y,var,0.0010496063623577356,12800
base,fx,mspe,0.07368128001689911,12800
base,fx,bias2,0.07287733256816864,12800
base,fx,var,0.0008039437816478312,12800
base,fr,mspe,0.16621503233909607,12800
base,fr,bias2,0.1654110848903656,12800
base,fr,var,0.0008039437816478312,12800
base,fz,mspe,0.07795459032058716,12800
base,fz,bias2,0.07795459032058716,12800
base,fz,var,0.0,12800
posthoc,y,mspe,1.0056581497192383,12800
posthoc,y,bias2,1.0037667751312256,12800
posthoc,y,var,0.001891417196020484,12800
posthoc,fx,mspe,0.008032334968447685,12800
posthoc,fx,bias2,0.0010201344266533852,12800
posthoc,fx,var,0.007012201007455587,12800
posthoc,fr,mspe,0.03491273894906044,12800
posthoc,fr,bias2,0.027900539338588715,12800
posthoc,fr,var,0.007012201007455587,12800
posthoc,fz,mspe,0.00678874971345067,12800
posthoc,fz,bias2,0.0006540588801726699,12800
posthoc,fz,var,0.006134690251201391,12800
posthoc_orth,y,mspe,1.0056588649749756,12800
posthoc_orth,y,bias2,1.00376558303833,12800
posthoc_orth,y,var,0.0018933563260361552,12800
posthoc_orth,fx,mspe,0.02124454453587532,12800
posthoc_orth,fx,bias2,0.019725210964679718,12800
posthoc_orth,fx,var,0.001519335201010108,12800
posthoc_orth,fr,mspe,0.1387854516506195,12800
posthoc_orth,fr,bias2,0.1150013729929924,12800
posthoc_orth,fr,var,0.023784078657627106,12800
posthoc_orth,fz,mspe,0.019875606521964073,12800
posthoc_orth,fz,bias2,0.01965896040201187,12800
posthoc_orth,fz,var,0.00021664646919816732,12800
base,y,mspe,1.021823763847351,1600
base,y,bias2,1.0176488161087036,1600
base,y,var,0.004174979403614998,1600
base,fx,mspe,0.0787140280008316,1600
base,fx,bias2,0.07554098963737488,1600
base,fx,var,0.0031730281189084053,1600
base,fr,mspe,0.17238843441009521,1600
base,fr,bias2,0.16921541094779968,1600
base,fr,var,0.0031730281189084053,1600
base,fz,mspe,0.07795459032058716,1600
base,fz,bias2,0.07795459032058716,1600
base,fz,var,0.0,1600
posthoc,y,mspe,1.0162248611450195,1600
posthoc,y,bias2,1.005534052848816,1600
posthoc,y,var,0.010690907016396523,1600
posthoc,fx,mspe,0.03386033698916435,1600
posthoc,fx,bias2,0.01023722905665636,1600
posthoc,fx,var,0.023623108863830566,1600
posthoc,fr,mspe,0.07846307009458542,1600
posthoc,fr,bias2,0.05483996495604515,1600
posthoc,fr,var,0.023623108863830566,1600
posthoc,fz,mspe,0.0255313441157341,1600
posthoc,fz,bias2,0.006638051476329565,1600
posthoc,fz,var,0.018893294036388397,1600
posthoc_orth,y,mspe,1.0162324905395508,1600
posthoc_orth,y,bias2,1.0055350065231323,1600
posthoc_orth,y,var,0.010697505436837673,1600
posthoc_orth,fx,mspe,0.027961798012256622,1600
posthoc_orth,fx,bias2,0.021363461390137672,1600
posthoc_orth,fx,var,0.006598335690796375,1600
posthoc_orth,fr,mspe,0.2968248128890991,1600
posthoc_orth,fr,bias2,0.21770469844341278,1600
posthoc_orth,fr,var,0.07912009954452515,1600
posthoc_orth,fz,mspe,0.02435844950377941,1600
posthoc_orth,fz,bias2,0.0216600950807333,1600
posthoc_orth,fz,var,0.0026983546558767557,1600
base,y,mspe,1.0167450904846191,25600
base,y,bias2,1.0161412954330444,25600
base,y,var,0.0006037488346919417,25600
base,fx,mspe,0.07631149888038635,25600
base,fx,bias2,0.07587143033742905,25600
base,fx,var,0.000440072180936113,25600
base,fr,mspe,0.17038875818252563,25600
base,fr,bias2,0.16994869709014893,25600
base,fr,var,0.000440072180936113,25600
base,fz,mspe,0.07795459032058716,25600
base,fz,bias2,0.07795459032058716,25600
base,fz,var,0.0,25600
posthoc,y,mspe,1.0047485828399658,25600
posthoc,y,bias2,1.0034757852554321,25600
posthoc,y,var,0.0012727376306429505,25600
posthoc,fx,mspe,0.004987407475709915,25600
posthoc,fx,bias2,0.0011409353464841843,25600
posthoc,fx,var,0.0038464718963950872,25600
posthoc,fr,mspe,0.03297308459877968,25600
posthoc,fr,bias2,0.029126612469553947,25600
posthoc,fr,var,0.0038464718963950872,25600
posthoc,fz,mspe,0.003975116182118654,25600
posthoc,fz,bias2,0.0008943608263507485,25600
posthoc,fz,var,0.0030807547736912966,25600
posthoc_orth,y,mspe,1.0047483444213867,25600
posthoc_orth,y,bias2,1.0034774541854858,25600
posthoc_orth,y,var,0.0012708497233688831,25600
posthoc_orth,fx,mspe,0.020832018926739693,25600
posthoc_orth,fx,bias2,0.01976090669631958,25600
posthoc_orth,fx,var,0.0010711123468354344,25600
posthoc_orth,fr,mspe,0.1336941123008728,25600
posthoc_orth,fr,bias2,0.12080720067024231,25600
posthoc_orth,fr,var,0.01288691721856594,25600
posthoc_orth,fz,mspe,0.01983681134879589,25600
posthoc_orth,fz,bias2,0.019696595147252083,25600
posthoc_orth,fz,var,0.00014021582319401205,25600
base,y,mspe,1.0207427740097046,3200
base,y,bias2,1.0174498558044434,3200
base,y,var,0.003292905632406473,3200
base,fx,mspe,0.07846032828092575,3200
base,fx,bias2,0.07578904926776886,3200
base,fx,var,0.002671274822205305,3200
base,fr,mspe,0.17227931320667267,3200
base,fr,bias2,0.16960804164409637,3200
base,fr,var,0.002671274822205305,3200
base,fz,mspe,0.07795459032058716,3200
base,fz,bias2,0.07795459032058716,3200
base,fz,var,0.0,3200
posthoc,y,mspe,1.0127782821655273,3200
posthoc,y,bias2,1.0063153505325317,3200
posthoc,y,var,0.006462983321398497,3200
posthoc,fx,mspe,0.022834567353129387,3200
posthoc,fx,bias2,0.010844753123819828,3200
posthoc,fx,var,0.011989817954599857,3200
posthoc,fr,mspe,0.06904292851686478,3200
posthoc,fr,bias2,0.057053111493587494,3200
posthoc,fr,var,0.011989817954599857,3200
posthoc,fz,mspe,0.015393559820950031,3200
posthoc,fz,bias2,0.007301656063646078,3200
posthoc,fz,var,0.00809190422296524,3200
posthoc_orth,y,mspe,1.0127907991409302,3200
posthoc_orth,y,bias2,1.0063204765319824,3200
posthoc_orth,y,var,0.006470405962318182,3200
posthoc_orth,fx,mspe,0.025686247274279594,3200
posthoc_orth,fx,bias2,0.021172471344470978,3200
