model,effect,metric,value,n,q
covar,y,mspe,1.011965036392212,12800,1024
covar,y,bias2,1.0082610845565796,12800,1024
covar,y,var,0.0037039441522210836,12800,1024
covar,fx,mspe,0.0065571642480790615,12800,1024
covar,fx,bias2,0.002194311935454607,12800,1024
covar,fx,var,0.004362852778285742,12800,1024
covar,fr,mspe,0.03623681515455246,12800,1024
covar,fr,bias2,0.03187396377325058,12800,1024
covar,fr,var,0.004362852778285742,12800,1024
covar,fz,mspe,0.007911691442131996,12800,1024
covar,fz,bias2,0.004172074608504772,12800,1024
covar,fz,var,0.0037396170664578676,12800,1024
posthoc_xfit,y,mspe,1.0033290386199951,12800,1024
posthoc_xfit,y,bias2,1.002357840538025,12800,1024
posthoc_xfit,y,var,0.0009711593156680465,12800,1024
posthoc_xfit,fx,mspe,0.0012748145963996649,12800,1024
posthoc_xfit,fx,bias2,0.0002958837430924177,12800,1024
posthoc_xfit,fx,var,0.0009789307368919253,12800,1024
posthoc_xfit,fr,mspe,0.02138400264084339,12800,1024
posthoc_xfit,fr,bias2,0.02040507271885872,12800,1024
posthoc_xfit,fr,var,0.0009789307368919253,12800,1024
posthoc_xfit,fz,mspe,0.00026261864695698023,12800,1024
posthoc_xfit,fz,bias2,3.198909098500735e-06,12800,1024
posthoc_xfit,fz,var,0.00025941975763998926,12800,1024
covar,y,mspe,1.011804223060608,12800,128
covar,y,bias2,1.0092731714248657,12800,128
covar,y,var,0.002530990866944194,12800,128
covar,fx,mspe,0.005586134269833565,12800,128
covar,fx,bias2,0.0028946632519364357,12800,128
covar,fx,var,0.002691471017897129,12800,128
covar,fr,mspe,0.0369863361120224,12800,128
covar,fr,bias2,0.034294866025447845,12800,128
covar,fr,var,0.002691471017897129,12800,128
covar,fz,mspe,0.007020584307610989,12800,128
covar,fz,bias2,0.004964259918779135,12800,128
covar,fz,var,0.002056324854493141,12800,128
posthoc_xfit,y,mspe,1.0036532878875732,12800,128
posthoc_xfit,y,bias2,1.0025360584259033,12800,128
posthoc_xfit,y,var,0.0011171691585332155,12800,128
posthoc_xfit,fx,mspe,0.0014300441835075617,12800,128
posthoc_xfit,fx,bias2,0.00029244498000480235,12800,128
posthoc_xfit,fx,var,0.001137599116191268,12800,128
posthoc_xfit,fr,mspe,0.021420370787382126,12800,128
posthoc_xfit,fr,bias2,0.020282771438360214,12800,128
posthoc_xfit,fr,var,0.001137599116191268,12800,128
posthoc_xfit,fz,mspe,0.00027166635845787823,12800,128
posthoc_xfit,fz,bias2,1.8770894030240015e-06,12800,128
posthoc_xfit,fz,var,0.0002697892487049103,12800,128
covar,y,mspe,1.0102745294570923,12800,16
covar,y,bias2,1.0081915855407715,12800,16
covar,y,var,0.0020828666165471077,12800,16
covar,fx,mspe,0.004056150559335947,12800,16
covar,fx,bias2,0.0020960220135748386,12800,16
covar,fx,var,0.0019601292442530394,12800,16
covar,fr,mspe,0.03354384005069733,12800,16
covar,fr,bias2,0.03158371150493622,12800,16
covar,fr,var,0.0019601292442530394,12800,16
covar,fz,mspe,0.00551702082157135,12800,16
covar,fz,bias2,0.004316132050007582,12800,16
covar,fz,var,0.0012008886551484466,12800,16
posthoc_xfit,y,mspe,1.0038399696350098,12800,16
posthoc_xfit,y,bias2,1.0028679370880127,12800,16
posthoc_xfit,y,var,0.000972114794421941,12800,16
posthoc_xfit,fx,mspe,0.0013670009793713689,12800,16
posthoc_xfit,fx,bias2,0.00039041772834025323,12800,16
posthoc_xfit,fx,var,0.0009765831055119634,12800,16
posthoc_xfit,fr,mspe,0.021621832624077797,12800,16
posthoc_xfit,fr,bias2,0.020645251497626305,12800,16
posthoc_xfit,fr,var,0.0009765831055119634,12800,16
posthoc_xfit,fz,mspe,0.00025149164139293134,12800,16
posthoc_xfit,fz,bias2,4.260987225279678e-06,12800,16
posthoc_xfit,fz,var,0.00024723063688725233,12800,16
covar,y,mspe,1.0063456296920776,12800,2
covar,y,bias2,1.0035064220428467,12800,2
covar,y,var,0.002839121501892805,12800,2
covar,fx,mspe,0.0029842047952115536,12800,2
covar,fx,bias2,0.00027124700136482716,12800,2
covar,fx,var,0.0027129577938467264,12800,2
covar,fr,mspe,0.024228248745203018,12800,2
covar,fr,bias2,0.021515291184186935,12800,2
covar,fr,var,0.0027129577938467264,12800,2
covar,fz,mspe,0.0015926617197692394,12800,2
covar,fz,bias2,0.0004062099033035338,12800,2
covar,fz,var,0.001186451641842723,12800,2
posthoc_xfit,y,mspe,1.011116623878479,12800,2
posthoc_xfit,y,bias2,1.009126901626587,12800,2
posthoc_xfit,y,var,0.0019897331949323416,12800,2
posthoc_xfit,fx,mspe,0.007897919043898582,12800,2
posthoc_xfit,fx,bias2,0.005362535826861858,12800,2
posthoc_xfit,fx,var,0.002535383915528655,12800,2
posthoc_xfit,fr,mspe,0.04038211703300476,12800,2
posthoc_xfit,fr,bias2,0.03784673660993576,12800,2
posthoc_xfit,fr,var,0.002535383915528655,12800,2
posthoc_xfit,fz,mspe,0.0030157500877976418,12800,2
posthoc_xfit,fz,bias2,0.0021595568396151066,12800,2
posthoc_xfit,fz,var,0.0008561933063901961,12800,2
covar,y,mspe,1.008805274963379,12800,256
covar,y,bias2,1.005558729171753,12800,256
covar,y,var,0.003246600739657879,12800,256
covar,fx,mspe,0.003359228605404496,12800,256
covar,fx,bias2,0.00034313712967559695,12800,256
covar,fx,var,0.003016091650351882,12800,256
covar,fr,mspe,0.02502044290304184,12800,256
covar,fr,bias2,0.022004351019859314,12800,256
covar,fr,var,0.003016091650351882,12800,256
covar,fz,mspe,0.0022468564566224813,12800,256
covar,fz,bias2,0.0004621086409315467,12800,256
covar,fz,var,0.0017847476992756128,12800,256
posthoc_xfit,y,mspe,1.0043781995773315,12800,256
posthoc_xfit,y,bias2,1.0031651258468628,12800,256
posthoc_xfit,y,var,0.0012130182003602386,12800,256
posthoc_xfit,fx,mspe,0.0017357608303427696,12800,256
posthoc_xfit,fx,bias2,0.00048544519813731313,12800,256
posthoc_xfit,fx,var,0.0012503155739977956,12800,256
posthoc_xfit,fr,mspe,0.020426679402589798,12800,256
posthoc_xfit,fr,bias2,0.019176363945007324,12800,256
posthoc_xfit,fr,var,0.0012503155739977956,12800,256
posthoc_xfit,fz,mspe,0.00030245917150750756,12800,256
posthoc_xfit,fz,bias2,1.7018390281009488e-05,12800,256
posthoc_xfit,fz,var,0.00028544082306325436,12800,256
covar,y,mspe,1.0077300071716309,12800,32
covar,y,bias2,1.0047709941864014,12800,32
covar,y,var,0.0029590397607535124,12800,32
covar,fx,mspe,0.002661356935277581,12800,32
covar,fx,bias2,0.000265945476712659,12800,32
covar,fx,var,0.0023954114876687527,12800,32
covar,fr,mspe,0.02458367869257927,12800,32
covar,fr,bias2,0.02218826860189438,12800,32
covar,fr,var,0.0023954114876687527,12800,32
covar,fz,mspe,0.001696251449175179,12800,32
covar,fz,bias2,0.0004767626232933253,12800,32
covar,fz,var,0.001219488913193345,12800,32
posthoc_xfit,y,mspe,1.0036603212356567,12800,32
posthoc_xfit,y,bias2,1.0024492740631104,12800,32
posthoc_xfit,y,var,0.0012110829120501876,12800,32
posthoc_xfit,fx,mspe,0.0014983523869886994,12800,32
posthoc_xfit,fx,bias2,0.0002623045293148607,12800,32
posthoc_xfit,fx,var,0.001236048061400652,12800,32
posthoc_xfit,fr,mspe,0.02100258320569992,12800,32
posthoc_xfit,fr,bias2,0.019766535609960556,12800,32
posthoc_xfit,fr,var,0.001236048061400652,12800,32
posthoc_xfit,fz,mspe,0.0002544463786762208,12800,32
posthoc_xfit,fz,bias2,8.642227271593583e-07,12800,32
posthoc_xfit,fz,var,0.00025358214043080807,12800,32
covar,y,mspe,1.0056052207946777,12800,4
covar,y,bias2,1.0033215284347534,12800,4
covar,y,var,0.0022836127318441868,12800,4
covar,fx,mspe,0.002275321399793029,12800,4
covar,fx,bias2,0.00024055078392848372,12800,4
covar,fx,var,0.002034770557656884,12800,4
covar,fr,mspe,0.022991366684436798,12800,4
covar,fr,bias2,0.02095659263432026,12800,4
covar,fr,var,0.002034770557656884,12800,4
covar,fz,mspe,0.0013067721156403422,12800,4
covar,fz,bias2,0.00033622878254391253,12800,4
covar,fz,var,0.0009705433039925992,12800,4
posthoc_xfit,y,mspe,1.0057199001312256,12800,4
posthoc_xfit,y,bias2,1.0046037435531616,12800,4
posthoc_xfit,y,var,0.0011161698494106531,12800,4
posthoc_xfit,fx,mspe,0.0022557207848876715,12800,4
posthoc_xfit,fx,bias2,0.0010012279963120818,12800,4
posthoc_xfit,fx,var,0.0012544930214062333,12800,4
posthoc_xfit,fr,mspe,0.024802623316645622,12800,4
posthoc_xfit,fr,bias2,0.023548128083348274,12800,4
posthoc_xfit,fr,var,0.0012544930214062333,12800,4
posthoc_xfit,fz,mspe,0.0005372753948904574,12800,4
posthoc_xfit,fz,bias2,0.00010244829900329933,12800,4
