n,bz,cv1,p,q,model,effect,metric,value,experiment_folder
12800,1.0,0.8,1,32,base,y,mspe,1.0175197,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,base,y,bias2,1.016731,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,base,y,var,0.00078873365,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,base,fx,mspe,0.07308344,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,base,fx,bias2,0.07241593,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,base,fx,var,0.00066750735,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,base,fz,mspe,0.07795459,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,base,fz,bias2,0.07795459,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,base,fz,var,0.0,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,base,fr,mspe,0.16538538,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,base,fr,bias2,0.16471787,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,base,fr,var,0.00066750735,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc,y,mspe,1.004383,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc,y,bias2,1.0031786,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc,y,var,0.0012044865,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc,fx,mspe,0.00372528,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc,fx,bias2,0.00010714568,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc,fx,var,0.0036181344,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc,fz,mspe,0.002762425,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc,fz,bias2,5.3225616e-05,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc,fz,var,0.0027091994,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc,fr,mspe,0.024923956,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc,fr,bias2,0.021305824,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc,fr,var,0.0036181344,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc_lam0,y,mspe,1.0053588,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc_lam0,y,bias2,1.0029886,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc_lam0,y,var,0.0023702171,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc_lam0,fx,mspe,0.004976261,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc_lam0,fx,bias2,2.2677046e-05,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc_lam0,fx,var,0.0049535837,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc_lam0,fz,mspe,0.002908065,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc_lam0,fz,bias2,9.120717e-06,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc_lam0,fz,var,0.002898944,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc_lam0,fr,mspe,0.024974143,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
12800,1.0,0.8,1,32,posthoc_lam0,fr,bias2,0.02002056,n=12800_bz=1.0_cv1=0.8_p=1_q=32_20251022-163116
