model,effect,metric,value,bz,n
base,y,mspe,1.0041497945785522,0,12800
base,y,bias2,1.0022140741348267,0,12800
base,y,var,0.0019357666606083512,0,12800
base,fx,mspe,0.0016926124226301908,0,12800
base,fx,bias2,0.00034873830736614764,0,12800
base,fx,var,0.0013438743771985173,0,12800
base,fr,mspe,0.01976870931684971,0,12800
base,fr,bias2,0.018424835056066513,0,12800
base,fr,var,0.0013438743771985173,0,12800
base,fz,mspe,0.0,0,12800
base,fz,bias2,0.0,0,12800
base,fz,var,0.0,0,12800
posthoc,y,mspe,1.003720998764038,0,12800
posthoc,y,bias2,1.001593828201294,0,12800
posthoc,y,var,0.0021271873265504837,0,12800
posthoc,fx,mspe,0.0023098113015294075,0,12800
posthoc,fx,bias2,0.0003109059762209654,0,12800
posthoc,fx,var,0.0019989055581390858,0,12800
posthoc,fr,mspe,0.020086945965886116,0,12800
posthoc,fr,bias2,0.018088042736053467,0,12800
posthoc,fr,var,0.0019989055581390858,0,12800
posthoc,fz,mspe,0.000719512056093663,0,12800
posthoc,fz,bias2,7.499757339246571e-05,0,12800
posthoc,fz,var,0.0006445143953897059,0,12800
posthoc_lam0,y,mspe,1.288040041923523,0,12800
posthoc_lam0,y,bias2,0.9981981515884399,0,12800
posthoc_lam0,y,var,0.28984180092811584,0,12800
posthoc_lam0,fx,mspe,0.2933790683746338,0,12800
posthoc_lam0,fx,bias2,0.0032719739247113466,0,12800
posthoc_lam0,fx,var,0.2901071012020111,0,12800
posthoc_lam0,fr,mspe,0.31290313601493835,0,12800
posthoc_lam0,fr,bias2,0.022796016186475754,0,12800
posthoc_lam0,fr,var,0.2901071012020111,0,12800
posthoc_lam0,fz,mspe,0.0009515018900856376,0,12800
posthoc_lam0,fz,bias2,3.2931200166785857e-06,0,12800
posthoc_lam0,fz,var,0.0009482087334617972,0,12800
posthoc_orth,y,mspe,1.0035960674285889,0,12800
posthoc_orth,y,bias2,1.0015689134597778,0,12800
posthoc_orth,y,var,0.0020271462853997946,0,12800
posthoc_orth,fx,mspe,0.02119746245443821,0,12800
posthoc_orth,fx,bias2,0.01961207576096058,0,12800
posthoc_orth,fx,var,0.0015853894874453545,0,12800
posthoc_orth,fr,mspe,0.0018622428178787231,0,12800
posthoc_orth,fr,bias2,0.0002768533304333687,0,12800
posthoc_orth,fr,var,0.0015853894874453545,0,12800
posthoc_orth,fz,mspe,0.02030923217535019,0,12800
posthoc_orth,fz,bias2,0.020066795870661736,0,12800
posthoc_orth,fz,var,0.0002424382109893486,0,12800
posthoc_orth_lam0,y,mspe,1.7913647890090942,0,12800
posthoc_orth_lam0,y,bias2,1.0131890773773193,0,12800
posthoc_orth_lam0,y,var,0.7781755328178406,0,12800
posthoc_orth_lam0,fx,mspe,0.8074101209640503,0,12800
posthoc_orth_lam0,fx,bias2,0.029392125084996223,0,12800
posthoc_orth_lam0,fx,var,0.778018057346344,0,12800
posthoc_orth_lam0,fr,mspe,0.7862142324447632,0,12800
posthoc_orth_lam0,fr,bias2,0.00819615088403225,0,12800
posthoc_orth_lam0,fr,var,0.778018057346344,0,12800
posthoc_orth_lam0,fz,mspe,0.020308708772063255,0,12800
posthoc_orth_lam0,fz,bias2,0.02006639540195465,0,12800
posthoc_orth_lam0,fz,var,0.0002423122205073014,0,12800
posthoc_web,y,mspe,1.0745632648468018,0,12800
posthoc_web,y,bias2,1.0706707239151,0,12800
posthoc_web,y,var,0.003892639186233282,0,12800
posthoc_web,fx,mspe,0.020847229287028313,0,12800
posthoc_web,fx,bias2,0.019627919420599937,0,12800
posthoc_web,fx,var,0.0012193121947348118,0,12800
posthoc_web,fr,mspe,0.0015432232758030295,0,12800
posthoc_web,fr,bias2,0.00032391102286055684,0,12800
posthoc_web,fr,var,0.0012193121947348118,0,12800
posthoc_web,fz,mspe,0.0,0,12800
posthoc_web,fz,bias2,0.0,0,12800
posthoc_web,fz,var,0.0,0,12800
base,y,mspe,1.0209829807281494,0.5,12800
base,y,bias2,1.0190507173538208,0.5,12800
base,y,var,0.0019321778090670705,0.5,12800
base,fx,mspe,0.013009638525545597,0.5,12800
base,fx,bias2,0.011479360982775688,0.5,12800
base,fx,var,0.0015302780084311962,0.5,12800
base,fr,mspe,0.05637538433074951,0.5,12800
base,fr,bias2,0.05484510958194733,0.5,12800
base,fr,var,0.0015302780084311962,0.5,12800
base,fz,mspe,0.01948864758014679,0.5,12800
base,fz,bias2,0.01948864758014679,0.5,12800
base,fz,var,0.0,0.5,12800
posthoc,y,mspe,1.005204439163208,0.5,12800
posthoc,y,bias2,1.002993106842041,0.5,12800
posthoc,y,var,0.0022112904116511345,0.5,12800
posthoc,fx,mspe,0.002520851558074355,0.5,12800
posthoc,fx,bias2,0.0003627020923886448,0.5,12800
posthoc,fx,var,0.0021581491455435753,0.5,12800
posthoc,fr,mspe,0.023865314200520515,0.5,12800
posthoc,fr,bias2,0.021707165986299515,0.5,12800
posthoc,fr,var,0.0021581491455435753,0.5,12800
posthoc,fz,mspe,0.0006710995803587139,0.5,12800
posthoc,fz,bias2,2.0076398868695833e-05,0.5,12800
posthoc,fz,var,0.0006510231760330498,0.5,12800
posthoc_lam0,y,mspe,1.168657660484314,0.5,12800
posthoc_lam0,y,bias2,0.9984382390975952,0.5,12800
posthoc_lam0,y,var,0.17021949589252472,0.5,12800
posthoc_lam0,fx,mspe,0.17196720838546753,0.5,12800
posthoc_lam0,fx,bias2,0.0017596561228856444,0.5,12800
posthoc_lam0,fx,var,0.17020754516124725,0.5,12800
posthoc_lam0,fr,mspe,0.19063709676265717,0.5,12800
posthoc_lam0,fr,bias2,0.02042955718934536,0.5,12800
posthoc_lam0,fr,var,0.17020754516124725,0.5,12800
posthoc_lam0,fz,mspe,0.0009569315589033067,0.5,12800
posthoc_lam0,fz,bias2,1.8685692339204252e-05,0.5,12800
posthoc_lam0,fz,var,0.0009382457938045263,0.5,12800
posthoc_orth,y,mspe,1.0051525831222534,0.5,12800
