n,bz,cv1,p,q,model,effect,metric,value,experiment_folder
3200,0.5,0.8,1,32,base,y,mspe,1.0125014,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,base,y,bias2,1.0096973,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,base,y,var,0.002804179,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,base,fx,mspe,0.02062701,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,base,fx,bias2,0.018352626,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,base,fx,var,0.002274385,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,base,fz,mspe,0.019488648,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,base,fz,bias2,0.019488648,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,base,fz,var,0.0,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,base,fr,mspe,0.076368704,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,base,fr,bias2,0.074094325,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,base,fr,var,0.002274385,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc,y,mspe,1.009693,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc,y,bias2,1.0058293,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc,y,var,0.0038637398,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc,fx,mspe,0.012929185,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc,fx,bias2,0.0028361755,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc,fx,var,0.01009301,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc,fz,mspe,0.0108663235,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc,fz,bias2,0.0024839602,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc,fz,var,0.008382363,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc,fr,mspe,0.046246782,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc,fr,bias2,0.036153775,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc,fr,var,0.01009301,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_lam0,y,mspe,1.0202141,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_lam0,y,bias2,1.0033108,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_lam0,y,var,0.016903233,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_lam0,fx,mspe,0.025233194,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_lam0,fx,bias2,0.00026445574,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_lam0,fx,var,0.02496874,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_lam0,fz,mspe,0.010583387,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_lam0,fz,bias2,3.8840342e-05,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_lam0,fz,var,0.010544547,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_lam0,fr,mspe,0.046137188,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_lam0,fr,bias2,0.021168448,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_lam0,fr,var,0.02496874,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_orth,y,mspe,1.0096129,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_orth,y,bias2,1.0057482,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_orth,y,var,0.0038647011,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_orth,fx,mspe,0.022440085,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_orth,fx,bias2,0.019845406,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_orth,fx,var,0.0025946782,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_orth,fz,mspe,0.020279199,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_orth,fz,bias2,0.019398708,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_orth,fz,var,0.0008804934,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_orth,fr,mspe,0.0029690277,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_orth,fr,bias2,0.0003743495,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_orth,fr,var,0.0025946782,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_orth_lam0,y,mspe,1.0198158,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_orth_lam0,y,bias2,1.0035921,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_orth_lam0,y,var,0.016223593,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_orth_lam0,fx,mspe,0.034977917,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_orth_lam0,fx,bias2,0.020027807,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_orth_lam0,fx,var,0.014950109,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_orth_lam0,fz,mspe,0.020385196,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_orth_lam0,fz,bias2,0.019504264,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_orth_lam0,fz,var,0.0008809332,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_orth_lam0,fr,mspe,0.015150696,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_orth_lam0,fr,bias2,0.00020058673,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_orth_lam0,fr,var,0.014950109,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_web,y,mspe,1.1032832,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_web,y,bias2,1.1009653,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_web,y,var,0.0023179916,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_web,fx,mspe,0.022670206,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_web,fx,bias2,0.020953376,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_web,fx,var,0.0017168289,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_web,fz,mspe,0.019488648,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_web,fz,bias2,0.019488648,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_web,fz,var,0.0,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_web,fr,mspe,0.0032088745,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_web,fr,bias2,0.0014920457,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.5,0.8,1,32,posthoc_web,fr,var,0.0017168289,n=3200_bz=0.5_cv1=0.8_p=1_q=32_20251022-184750
3200,0.0,0.8,1,32,base,y,mspe,1.0069783,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,base,y,bias2,1.0042012,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,base,y,var,0.0027770768,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,base,fx,mspe,0.0027850822,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,base,fx,bias2,0.0005760746,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,base,fx,var,0.0022090077,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,base,fz,mspe,0.0,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,base,fz,bias2,0.0,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,base,fz,var,0.0,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,base,fr,mspe,0.02270234,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,base,fr,bias2,0.02049333,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,base,fr,var,0.0022090077,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc,y,mspe,1.008184,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc,y,bias2,1.0044689,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc,y,var,0.0037150604,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc,fx,mspe,0.007198043,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc,fx,bias2,0.00026855405,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc,fx,var,0.0069294893,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc,fz,mspe,0.004976953,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc,fz,bias2,3.083848e-05,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc,fz,var,0.0049461145,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc,fr,mspe,0.028269622,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc,fr,bias2,0.021340134,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
