model,effect,metric,value,cv1,n
base,y,mspe,1.0609846115112305,0.0,12800
base,y,bias2,1.0598747730255127,0.0,12800
base,y,var,0.0011098709655925632,0.0,12800
base,fx,mspe,0.036554254591464996,0.0,12800
base,fx,bias2,0.03569946438074112,0.0,12800
base,fx,var,0.0008547917241230607,0.0,12800
base,fr,mspe,0.0914897695183754,0.0,12800
base,fr,bias2,0.09063497185707092,0.0,12800
base,fr,var,0.0008547917241230607,0.0,12800
base,fz,mspe,0.07795459032058716,0.0,12800
base,fz,bias2,0.07795459032058716,0.0,12800
base,fz,var,0.0,0.0,12800
posthoc,y,mspe,1.0037877559661865,0.0,12800
posthoc,y,bias2,1.0020500421524048,0.0,12800
posthoc,y,var,0.0017377594485878944,0.0,12800
posthoc,fx,mspe,0.001888746046461165,0.0,12800
posthoc,fx,bias2,0.0003301908145658672,0.0,12800
posthoc,fx,var,0.0015585551736876369,0.0,12800
posthoc,fr,mspe,0.02259124256670475,0.0,12800
posthoc,fr,bias2,0.021032685413956642,0.0,12800
posthoc,fr,var,0.0015585551736876369,0.0,12800
posthoc,fz,mspe,0.00041342858457937837,0.0,12800
posthoc,fz,bias2,1.879582487163134e-05,0.0,12800
posthoc,fz,var,0.0003946327487938106,0.0,12800
posthoc_orth,y,mspe,1.0038119554519653,0.0,12800
posthoc_orth,y,bias2,1.0020670890808105,0.0,12800
posthoc_orth,y,var,0.0017448702128604054,0.0,12800
posthoc_orth,fx,mspe,0.02133435197174549,0.0,12800
posthoc_orth,fx,bias2,0.01996048167347908,0.0,12800
posthoc_orth,fx,var,0.0013738709967583418,0.0,12800
posthoc_orth,fr,mspe,0.09041879326105118,0.0,12800
posthoc_orth,fr,bias2,0.08788824081420898,0.0,12800
posthoc_orth,fr,var,0.002530559664592147,0.0,12800
posthoc_orth,fz,mspe,0.019875608384609222,0.0,12800
posthoc_orth,fz,bias2,0.01965896040201187,0.0,12800
posthoc_orth,fz,var,0.00021664636733476073,0.0,12800
base,y,mspe,1.0622167587280273,0.1,12800
base,y,bias2,1.0611189603805542,0.1,12800
base,y,var,0.0010977464262396097,0.1,12800
base,fx,mspe,0.0360255092382431,0.1,12800
base,fx,bias2,0.035171523690223694,0.1,12800
base,fx,var,0.0008539850823581219,0.1,12800
base,fr,mspe,0.09089456498622894,0.1,12800
base,fr,bias2,0.09004058688879013,0.1,12800
base,fr,var,0.0008539850823581219,0.1,12800
base,fz,mspe,0.07795459032058716,0.1,12800
base,fz,bias2,0.07795459032058716,0.1,12800
base,fz,var,0.0,0.1,12800
posthoc,y,mspe,1.0041792392730713,0.1,12800
posthoc,y,bias2,1.0023815631866455,0.1,12800
posthoc,y,var,0.0017975819064304233,0.1,12800
posthoc,fx,mspe,0.0019048138055950403,0.1,12800
posthoc,fx,bias2,0.0002688732056412846,0.1,12800
posthoc,fx,var,0.0016359406290575862,0.1,12800
posthoc,fr,mspe,0.02211657725274563,0.1,12800
posthoc,fr,bias2,0.02048063836991787,0.1,12800
posthoc,fr,var,0.0016359406290575862,0.1,12800
posthoc,fz,mspe,0.0004209802718833089,0.1,12800
posthoc,fz,bias2,7.398326488328166e-06,0.1,12800
posthoc,fz,var,0.00041358196176588535,0.1,12800
posthoc_orth,y,mspe,1.0041866302490234,0.1,12800
posthoc_orth,y,bias2,1.0023843050003052,0.1,12800
posthoc_orth,y,var,0.0018023913726210594,0.1,12800
posthoc_orth,fx,mspe,0.021376958116889,0.1,12800
posthoc_orth,fx,bias2,0.01994595117866993,0.1,12800
posthoc_orth,fx,var,0.0014310053084045649,0.1,12800
posthoc_orth,fr,mspe,0.0886123850941658,0.1,12800
posthoc_orth,fr,bias2,0.08598873019218445,0.1,12800
posthoc_orth,fr,var,0.0026236551348119974,0.1,12800
posthoc_orth,fz,mspe,0.019875604659318924,0.1,12800
posthoc_orth,fz,bias2,0.01965896040201187,0.1,12800
posthoc_orth,fz,var,0.00021664626547135413,0.1,12800
base,y,mspe,1.0628936290740967,0.2,12800
base,y,bias2,1.0617636442184448,0.2,12800
base,y,var,0.0011300075566396117,0.2,12800
base,fx,mspe,0.036078691482543945,0.2,12800
base,fx,bias2,0.03520013019442558,0.2,12800
base,fx,var,0.0008785601239651442,0.2,12800
base,fr,mspe,0.09160351008176804,0.2,12800
base,fr,bias2,0.09072494506835938,0.2,12800
base,fr,var,0.0008785601239651442,0.2,12800
base,fz,mspe,0.07795459032058716,0.2,12800
base,fz,bias2,0.07795459032058716,0.2,12800
base,fz,var,0.0,0.2,12800
posthoc,y,mspe,1.0043660402297974,0.2,12800
posthoc,y,bias2,1.0026155710220337,0.2,12800
posthoc,y,var,0.0017504438292235136,0.2,12800
posthoc,fx,mspe,0.0019227616721764207,0.2,12800
posthoc,fx,bias2,0.00031944879447109997,0.2,12800
posthoc,fx,var,0.0016033127903938293,0.2,12800
posthoc,fr,mspe,0.0222458653151989,0.2,12800
posthoc,fr,bias2,0.02064255252480507,0.2,12800
posthoc,fr,var,0.0016033127903938293,0.2,12800
posthoc,fz,mspe,0.00043734247446991503,0.2,12800
posthoc,fz,bias2,9.738619155541528e-06,0.2,12800
posthoc,fz,var,0.00042760386713780463,0.2,12800
posthoc_orth,y,mspe,1.0043469667434692,0.2,12800
posthoc_orth,y,bias2,1.002600073814392,0.2,12800
posthoc_orth,y,var,0.0017469663871452212,0.2,12800
posthoc_orth,fx,mspe,0.021371180191636086,0.2,12800
posthoc_orth,fx,bias2,0.01999524049460888,0.2,12800
posthoc_orth,fx,var,0.001375941326841712,0.2,12800
posthoc_orth,fr,mspe,0.08905941992998123,0.2,12800
posthoc_orth,fr,bias2,0.08645874261856079,0.2,12800
posthoc_orth,fr,var,0.002600681269541383,0.2,12800
posthoc_orth,fz,mspe,0.01987561024725437,0.2,12800
posthoc_orth,fz,bias2,0.01965896412730217,0.2,12800
posthoc_orth,fz,var,0.00021664587256964296,0.2,12800
base,y,mspe,1.0622466802597046,0.3,12800
base,y,bias2,1.0611218214035034,0.3,12800
base,y,var,0.0011248611845076084,0.3,12800
base,fx,mspe,0.03844340145587921,0.3,12800
base,fx,bias2,0.03754889965057373,0.3,12800
base,fx,var,0.0008945002919062972,0.3,12800
