n,bz,cv1,p,q,model,effect,metric,value,experiment_folder
3200,1.0,0.1,1,32,base,y,mspe,1.0938296,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,base,y,bias2,1.0913508,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,base,y,var,0.0024789723,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,base,fx,mspe,0.0036608868,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,base,fx,bias2,0.0017265378,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,base,fx,var,0.0019343491,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,base,fz,mspe,0.07795459,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,base,fz,bias2,0.07795459,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,base,fz,var,0.0,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,base,fr,mspe,0.027915865,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,base,fr,bias2,0.025981518,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,base,fr,var,0.0019343491,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc,y,mspe,1.0072719,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc,y,bias2,1.0031369,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc,y,var,0.0041349353,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc,fx,mspe,0.0029463228,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc,fx,bias2,7.798011e-05,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc,fx,var,0.0028683427,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc,fz,mspe,0.0008255968,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc,fz,bias2,6.2123286e-07,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc,fz,var,0.0008249756,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc,fr,mspe,0.022480361,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc,fr,bias2,0.01961202,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc,fr,var,0.0028683427,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc_lam0,y,mspe,1.017006,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc_lam0,y,bias2,1.0037006,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc_lam0,y,var,0.013305577,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc_lam0,fx,mspe,0.012151581,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc_lam0,fx,bias2,0.00015188476,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc_lam0,fx,var,0.0119996965,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc_lam0,fz,mspe,0.00090437545,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc_lam0,fz,bias2,2.9481822e-07,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc_lam0,fz,var,0.0009040807,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
3200,1.0,0.1,1,32,posthoc_lam0,fr,mspe,0.031284414,n=3200_bz=1.0_cv1=0.1_p=1_q=32_20251022-193737
