model,effect,metric,value,n,p
base,y,mspe,1.0176186561584473,12800,1
base,y,bias2,1.0165690183639526,12800,1
base,y,var,0.0010496063623577356,12800,1
base,fx,mspe,0.07368128001689911,12800,1
base,fx,bias2,0.07287733256816864,12800,1
base,fx,var,0.0008039437816478312,12800,1
base,fr,mspe,0.16621503233909607,12800,1
base,fr,bias2,0.1654110848903656,12800,1
base,fr,var,0.0008039437816478312,12800,1
base,fz,mspe,0.07795459032058716,12800,1
base,fz,bias2,0.07795459032058716,12800,1
base,fz,var,0.0,12800,1
posthoc,y,mspe,1.0056581497192383,12800,1
posthoc,y,bias2,1.0037667751312256,12800,1
posthoc,y,var,0.001891417196020484,12800,1
posthoc,fx,mspe,0.008032334968447685,12800,1
posthoc,fx,bias2,0.0010201344266533852,12800,1
posthoc,fx,var,0.007012201007455587,12800,1
posthoc,fr,mspe,0.03491273894906044,12800,1
posthoc,fr,bias2,0.027900539338588715,12800,1
posthoc,fr,var,0.007012201007455587,12800,1
posthoc,fz,mspe,0.00678874971345067,12800,1
posthoc,fz,bias2,0.0006540588801726699,12800,1
posthoc,fz,var,0.006134690251201391,12800,1
posthoc_orth,y,mspe,1.0056588649749756,12800,1
posthoc_orth,y,bias2,1.00376558303833,12800,1
posthoc_orth,y,var,0.0018933563260361552,12800,1
posthoc_orth,fx,mspe,0.02124454453587532,12800,1
posthoc_orth,fx,bias2,0.019725210964679718,12800,1
posthoc_orth,fx,var,0.001519335201010108,12800,1
posthoc_orth,fr,mspe,0.1387854516506195,12800,1
posthoc_orth,fr,bias2,0.1150013729929924,12800,1
posthoc_orth,fr,var,0.023784078657627106,12800,1
posthoc_orth,fz,mspe,0.019875606521964073,12800,1
posthoc_orth,fz,bias2,0.01965896040201187,12800,1
posthoc_orth,fz,var,0.00021664646919816732,12800,1
base,y,mspe,1.0013689994812012,12800,16
base,y,bias2,0.9986572265625,12800,16
base,y,var,0.0027117966674268246,12800,16
base,fx,mspe,0.0797051265835762,12800,16
base,fx,bias2,0.07741675525903702,12800,16
base,fx,var,0.0022883715573698282,12800,16
base,fr,mspe,0.1745275855064392,12800,16
base,fr,bias2,0.17223922908306122,12800,16
base,fr,var,0.0022883715573698282,12800,16
base,fz,mspe,0.08544507622718811,12800,16
base,fz,bias2,0.08544507622718811,12800,16
base,fz,var,0.0,12800,16
posthoc,y,mspe,0.9918574690818787,12800,16
posthoc,y,bias2,0.9841886758804321,12800,16
posthoc,y,var,0.007668771781027317,12800,16
posthoc,fx,mspe,0.017356252297759056,12800,16
posthoc,fx,bias2,0.008697103708982468,12800,16
