model,effect,metric,value,n,q
base,y,mspe,1.0173611640930176,12800,1024
base,y,bias2,1.0160667896270752,12800,1024
base,y,var,0.0012943338369950652,12800,1024
base,fx,mspe,0.07344713062047958,12800,1024
base,fx,bias2,0.07250431180000305,12800,1024
base,fx,var,0.0009428249904885888,12800,1024
base,fr,mspe,0.16588005423545837,12800,1024
base,fr,bias2,0.16493721306324005,12800,1024
base,fr,var,0.0009428249904885888,12800,1024
base,fz,mspe,0.07795459032058716,12800,1024
base,fz,bias2,0.07795459032058716,12800,1024
base,fz,var,0.0,12800,1024
posthoc,y,mspe,1.0046557188034058,12800,1024
posthoc,y,bias2,1.0029124021530151,12800,1024
posthoc,y,var,0.0017432882450520992,12800,1024
posthoc,fx,mspe,0.005801102612167597,12800,1024
posthoc,fx,bias2,0.0009276143391616642,12800,1024
posthoc,fx,var,0.00487348809838295,12800,1024
posthoc,fr,mspe,0.03246691823005676,12800,1024
posthoc,fr,bias2,0.027593428269028664,12800,1024
posthoc,fr,var,0.00487348809838295,12800,1024
posthoc,fz,mspe,0.004495762754231691,12800,1024
posthoc,fz,bias2,0.0006052488461136818,12800,1024
posthoc,fz,var,0.003890513675287366,12800,1024
posthoc_orth,y,mspe,1.0046557188034058,12800,1024
posthoc_orth,y,bias2,1.0029124021530151,12800,1024
posthoc_orth,y,var,0.0017432874301448464,12800,1024
posthoc_orth,fx,mspe,0.020978977903723717,12800,1024
posthoc_orth,fx,bias2,0.01961604878306389,12800,1024
posthoc_orth,fx,var,0.001362927840091288,12800,1024
posthoc_orth,fr,mspe,0.1297173649072647,12800,1024
posthoc_orth,fr,bias2,0.1135535016655922,12800,1024
posthoc_orth,fr,var,0.016163859516382217,12800,1024
posthoc_orth,fz,mspe,0.01987561024725437,12800,1024
posthoc_orth,fz,bias2,0.01965896412730217,12800,1024
posthoc_orth,fz,var,0.00021664629457518458,12800,1024
base,y,mspe,1.0175745487213135,12800,128
base,y,bias2,1.0166041851043701,12800,128
base,y,var,0.000970328925177455,12800,128
base,fx,mspe,0.07321295142173767,12800,128
base,fx,bias2,0.07243131846189499,12800,128
base,fx,var,0.000781624810770154,12800,128
base,fr,mspe,0.16553562879562378,12800,128
base,fr,bias2,0.1647539883852005,12800,128
base,fr,var,0.000781624810770154,12800,128
base,fz,mspe,0.07795459032058716,12800,128
base,fz,bias2,0.07795459032058716,12800,128
base,fz,var,0.0,12800,128
posthoc,y,mspe,1.0055108070373535,12800,128
posthoc,y,bias2,1.003608226776123,12800,128
posthoc,y,var,0.001902649411931634,12800,128
posthoc,fx,mspe,0.007951856590807438,12800,128
posthoc,fx,bias2,0.0015888798516243696,12800,128
posthoc,fx,var,0.006362976972013712,12800,128
posthoc,fr,mspe,0.03740914165973663,12800,128
posthoc,fr,bias2,0.03104616329073906,12800,128
posthoc,fr,var,0.006362976972013712,12800,128
posthoc,fz,mspe,0.006371122784912586,12800,128
posthoc,fz,bias2,0.0012056546984240413,12800,128
posthoc,fz,var,0.00516546843573451,12800,128
posthoc_orth,y,mspe,1.0055115222930908,12800,128
posthoc_orth,y,bias2,1.0036081075668335,12800,128
posthoc_orth,y,var,0.0019033086718991399,12800,128
posthoc_orth,fx,mspe,0.021219661459326744,12800,128
posthoc_orth,fx,bias2,0.01969752088189125,12800,128
posthoc_orth,fx,var,0.0015221404610201716,12800,128
posthoc_orth,fr,mspe,0.14952188730239868,12800,128
posthoc_orth,fr,bias2,0.12795309722423553,12800,128
posthoc_orth,fr,var,0.021568777039647102,12800,128
posthoc_orth,fz,mspe,0.01987561024725437,12800,128
posthoc_orth,fz,bias2,0.01965896412730217,12800,128
posthoc_orth,fz,var,0.00021664638188667595,12800,128
base,y,mspe,1.0177545547485352,12800,16
base,y,bias2,1.0168581008911133,12800,16
base,y,var,0.0008964219596236944,12800,16
base,fx,mspe,0.0736582800745964,12800,16
base,fx,bias2,0.07292113453149796,12800,16
base,fx,var,0.000737151363864541,12800,16
base,fr,mspe,0.16616733372211456,12800,16
base,fr,bias2,0.1654301881790161,12800,16
base,fr,var,0.000737151363864541,12800,16
base,fz,mspe,0.07795459032058716,12800,16
base,fz,bias2,0.07795459032058716,12800,16
base,fz,var,0.0,12800,16
posthoc,y,mspe,1.005749225616455,12800,16
posthoc,y,bias2,1.0038944482803345,12800,16
posthoc,y,var,0.0018547526560723782,12800,16
posthoc,fx,mspe,0.00707494979724288,12800,16
posthoc,fx,bias2,0.0011023463448509574,12800,16
posthoc,fx,var,0.005972603335976601,12800,16
posthoc,fr,mspe,0.03449278324842453,12800,16
posthoc,fr,bias2,0.02852018177509308,12800,16
posthoc,fr,var,0.005972603335976601,12800,16
posthoc,fz,mspe,0.005583477206528187,12800,16
posthoc,fz,bias2,0.0007612328045070171,12800,16
posthoc,fz,var,0.004822243936359882,12800,16
posthoc_orth,y,mspe,1.005756139755249,12800,16
posthoc_orth,y,bias2,1.003897786140442,12800,16
posthoc_orth,y,var,0.0018583065830171108,12800,16
posthoc_orth,fx,mspe,0.021213030442595482,12800,16
posthoc_orth,fx,bias2,0.01972854882478714,12800,16
posthoc_orth,fx,var,0.0014844803372398019,12800,16
posthoc_orth,fr,mspe,0.1377769410610199,12800,16
posthoc_orth,fr,bias2,0.11770264804363251,12800,16
posthoc_orth,fr,var,0.020074300467967987,12800,16
posthoc_orth,fz,mspe,0.019875606521964073,12800,16
posthoc_orth,fz,bias2,0.019658958539366722,12800,16
posthoc_orth,fz,var,0.00021664687665179372,12800,16
base,y,mspe,1.0179091691970825,12800,2
base,y,bias2,1.0171416997909546,12800,2
base,y,var,0.0007675389060750604,12800,2
base,fx,mspe,0.07399946451187134,12800,2
base,fx,bias2,0.07330397516489029,12800,2
base,fx,var,0.0006954855634830892,12800,2
base,fr,mspe,0.16659259796142578,12800,2
base,fr,bias2,0.16589708626270294,12800,2
base,fr,var,0.0006954855634830892,12800,2
base,fz,mspe,0.07795459032058716,12800,2
base,fz,bias2,0.07795459032058716,12800,2
base,fz,var,0.0,12800,2
posthoc,y,mspe,1.0129350423812866,12800,2
posthoc,y,bias2,1.0110365152359009,12800,2
posthoc,y,var,0.0018985739443451166,12800,2
posthoc,fx,mspe,0.040223799645900726,12800,2
posthoc,fx,bias2,0.03233271464705467,12800,2
posthoc,fx,var,0.00789108220487833,12800,2
posthoc,fr,mspe,0.10736938565969467,12800,2
posthoc,fr,bias2,0.09947830438613892,12800,2
posthoc,fr,var,0.00789108220487833,12800,2
posthoc,fz,mspe,0.03557052090764046,12800,2
posthoc,fz,bias2,0.028596526011824608,12800,2
