n,bz,cv1,p,q,model,effect,metric,value,experiment_folder
3200,1.0,0.8,1,1024,base,y,mspe,1.0202571,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,base,y,bias2,1.0172071,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,base,y,var,0.0030499909,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,base,fx,mspe,0.07388848,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,base,fx,bias2,0.07129516,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,base,fx,var,0.0025933222,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,base,fz,mspe,0.07795459,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,base,fz,bias2,0.07795459,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,base,fz,var,0.0,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,base,fr,mspe,0.16558555,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,base,fr,bias2,0.16299222,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,base,fr,var,0.0025933222,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,posthoc,y,mspe,1.0131211,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,posthoc,y,bias2,1.0081381,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,posthoc,y,var,0.0049829986,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,posthoc,fx,mspe,0.027584933,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,posthoc,fx,bias2,0.011380963,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,posthoc,fx,var,0.01620397,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,posthoc,fz,mspe,0.029570028,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,posthoc,fz,bias2,0.013967314,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,posthoc,fz,var,0.015602714,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,posthoc,fr,mspe,0.07543954,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,posthoc,fr,bias2,0.059235573,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,posthoc,fr,var,0.01620397,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,posthoc_lam0,y,mspe,1.0249305,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,posthoc_lam0,y,bias2,1.0038208,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
3200,1.0,0.8,1,1024,posthoc_lam0,y,var,0.021109728,n=3200_bz=1.0_cv1=0.8_p=1_q=1024_20251022-213929
