model,effect,metric,value,bz,n
posthoc_xfit,y,mspe,1.0025498867034912,0,12800
posthoc_xfit,y,bias2,1.0014837980270386,0,12800
posthoc_xfit,y,var,0.001066055498085916,0,12800
posthoc_xfit,fx,mspe,0.0013270741328597069,0,12800
posthoc_xfit,fx,bias2,0.0003352297062519938,0,12800
posthoc_xfit,fx,var,0.0009918444557115436,0,12800
posthoc_xfit,fr,mspe,0.019024576991796494,0,12800
posthoc_xfit,fr,bias2,0.018032731488347054,0,12800
posthoc_xfit,fr,var,0.0009918444557115436,0,12800
posthoc_xfit,fz,mspe,0.00021886340982746333,0,12800
posthoc_xfit,fz,bias2,5.175924889044836e-05,0,12800
posthoc_xfit,fz,var,0.00016710419731680304,0,12800
posthoc_orth_xfit,y,mspe,1.002697467803955,0,12800
posthoc_orth_xfit,y,bias2,1.001592755317688,0,12800
posthoc_orth_xfit,y,var,0.001104679424315691,0,12800
posthoc_orth_xfit,fx,mspe,0.02062392234802246,0,12800
posthoc_orth_xfit,fx,bias2,0.019699789583683014,0,12800
posthoc_orth_xfit,fx,var,0.0009241322404704988,0,12800
posthoc_orth_xfit,fr,mspe,0.001219979953020811,0,12800
posthoc_orth_xfit,fr,bias2,0.0002958477707579732,0,12800
posthoc_orth_xfit,fr,var,0.0009241322404704988,0,12800
posthoc_orth_xfit,fz,mspe,0.01972959190607071,0,12800
posthoc_orth_xfit,fz,bias2,0.01962261274456978,0,12800
posthoc_orth_xfit,fz,var,0.00010697852849261835,0,12800
posthoc_xfit,y,mspe,1.0328658819198608,0.5,12800
posthoc_xfit,y,bias2,1.030741572380066,0.5,12800
posthoc_xfit,y,var,0.0021243684459477663,0.5,12800
posthoc_xfit,fx,mspe,0.0037354016676545143,0.5,12800
posthoc_xfit,fx,bias2,0.0014983415603637695,0.5,12800
posthoc_xfit,fx,var,0.0022370603401213884,0.5,12800
posthoc_xfit,fr,mspe,0.0237750057131052,0.5,12800
posthoc_xfit,fr,bias2,0.021537944674491882,0.5,12800
posthoc_xfit,fr,var,0.0022370603401213884,0.5,12800
posthoc_xfit,fz,mspe,0.05115686357021332,0.5,12800
posthoc_xfit,fz,bias2,0.050802890211343765,0.5,12800
posthoc_xfit,fz,var,0.00035397379542700946,0.5,12800
posthoc_orth_xfit,y,mspe,1.033177137374878,0.5,12800
posthoc_orth_xfit,y,bias2,1.0309466123580933,0.5,12800
posthoc_orth_xfit,y,var,0.0022305757738649845,0.5,12800
posthoc_orth_xfit,fx,mspe,0.02298472635447979,0.5,12800
posthoc_orth_xfit,fx,bias2,0.020933324471116066,0.5,12800
posthoc_orth_xfit,fx,var,0.00205140165053308,0.5,12800
posthoc_orth_xfit,fr,mspe,0.003629476996138692,0.5,12800
posthoc_orth_xfit,fr,bias2,0.0015780754620209336,0.5,12800
posthoc_orth_xfit,fr,var,0.00205140165053308,0.5,12800
posthoc_orth_xfit,fz,mspe,0.06787227839231491,0.5,12800
posthoc_orth_xfit,fz,bias2,0.06774775683879852,0.5,12800
posthoc_orth_xfit,fz,var,0.00012452177179511636,0.5,12800
posthoc_xfit,y,mspe,1.1568561792373657,1,12800
posthoc_xfit,y,bias2,1.152205467224121,1,12800
posthoc_xfit,y,var,0.004650744143873453,1,12800
posthoc_xfit,fx,mspe,0.018327848985791206,1,12800
posthoc_xfit,fx,bias2,0.013588380999863148,1,12800
posthoc_xfit,fx,var,0.004739467054605484,1,12800
posthoc_xfit,fr,mspe,0.03744436800479889,1,12800
posthoc_xfit,fr,bias2,0.032704900950193405,1,12800
posthoc_xfit,fr,var,0.004739467054605484,1,12800
posthoc_xfit,fz,mspe,0.20342978835105896,1,12800
posthoc_xfit,fz,bias2,0.20299577713012695,1,12800
posthoc_xfit,fz,var,0.00043402216397225857,1,12800
posthoc_orth_xfit,y,mspe,1.1565536260604858,1,12800
posthoc_orth_xfit,y,bias2,1.1519131660461426,1,12800
posthoc_orth_xfit,y,var,0.004640401806682348,1,12800
posthoc_orth_xfit,fx,mspe,0.03685123473405838,1,12800
posthoc_orth_xfit,fx,bias2,0.0323999747633934,1,12800
posthoc_orth_xfit,fx,var,0.0044512622989714146,1,12800
posthoc_orth_xfit,fr,mspe,0.01799924112856388,1,12800
posthoc_orth_xfit,fr,bias2,0.013547978363931179,1,12800
posthoc_orth_xfit,fr,var,0.0044512622989714146,1,12800
posthoc_orth_xfit,fz,mspe,0.21761976182460785,1,12800
posthoc_orth_xfit,fz,bias2,0.2174396514892578,1,12800
posthoc_orth_xfit,fz,var,0.00018012050713878125,1,12800
posthoc_xfit,y,mspe,1.370530366897583,1.5,12800
posthoc_xfit,y,bias2,1.363471269607544,1.5,12800
posthoc_xfit,y,var,0.007059148047119379,1.5,12800
posthoc_xfit,fx,mspe,0.04279464855790138,1.5,12800
posthoc_xfit,fx,bias2,0.03561535105109215,1.5,12800
posthoc_xfit,fx,var,0.0071792914532125,1.5,12800
posthoc_xfit,fr,mspe,0.06210118159651756,1.5,12800
posthoc_xfit,fr,bias2,0.054921895265579224,1.5,12800
posthoc_xfit,fr,var,0.0071792914532125,1.5,12800
posthoc_xfit,fz,mspe,0.45741042494773865,1.5,12800
posthoc_xfit,fz,bias2,0.4567944407463074,1.5,12800
posthoc_xfit,fz,var,0.0006159720360301435,1.5,12800
posthoc_orth_xfit,y,mspe,1.3705663681030273,1.5,12800
posthoc_orth_xfit,y,bias2,1.3633118867874146,1.5,12800
posthoc_orth_xfit,y,var,0.007254580035805702,1.5,12800
posthoc_orth_xfit,fx,mspe,0.06127539649605751,1.5,12800
posthoc_orth_xfit,fx,bias2,0.05425824224948883,1.5,12800
posthoc_orth_xfit,fx,var,0.007017148658633232,1.5,12800
