setting,sim_id,method,mspe_fx,mspe_fr,mspe_y,mean_fx_hat,var_fx_hat,n_total,outcome_type,q,bz,cv1
fig1b_gauss_bz0,0,base_full,0.0016925088129937649,0.018894650042057037,1.0086181163787842,0.011396820656955242,0.12142553180456161,1600,continuous,32,0.0,0.8
fig1b_gauss_bz0,0,base_half,0.005838340613991022,0.018187223002314568,1.011491060256958,0.021730856969952583,0.1168585866689682,1600,continuous,32,0.0,0.8
fig1b_gauss_bz0,0,posthoc,0.003372783772647381,0.014993388205766678,1.0124679803848267,0.01201747078448534,0.0984717383980751,1600,continuous,32,0.0,0.8
fig1b_gauss_bz0,0,posthoc_same_sample,0.008244123309850693,0.04783620312809944,1.0160191059112549,0.014278728514909744,0.16926492750644684,1600,continuous,32,0.0,0.8
fig1b_gauss_bz0,1,base_full,0.009781574830412865,0.04506717622280121,1.0121166706085205,0.009992575272917747,0.1288989931344986,1600,continuous,32,0.0,0.8
fig1b_gauss_bz0,1,base_half,0.017841950058937073,0.06808465719223022,1.0120034217834473,-0.008086476475000381,0.13276977837085724,1600,continuous,32,0.0,0.8
fig1b_gauss_bz0,1,posthoc,0.010866140946745872,0.045565370470285416,1.0070894956588745,0.005891414824873209,0.09617264568805695,1600,continuous,32,0.0,0.8
fig1b_gauss_bz0,1,posthoc_same_sample,0.00970926508307457,0.04097776859998703,1.0156999826431274,0.010087108239531517,0.11307492852210999,1600,continuous,32,0.0,0.8
fig1b_gauss_bz0,2,base_full,0.004068059381097555,0.014628560282289982,1.0103516578674316,0.02326730079948902,0.12064456939697266,1600,continuous,32,0.0,0.8
fig1b_gauss_bz0,2,base_half,0.0073699806816875935,0.012212364934384823,1.016432285308838,0.019630616530776024,0.12140770256519318,1600,continuous,32,0.0,0.8
fig1b_gauss_bz0,2,posthoc,0.03011043556034565,0.025398602709174156,1.0152641534805298,0.01636548340320587,0.03427717834711075,1600,continuous,32,0.0,0.8
fig1b_gauss_bz0,2,posthoc_same_sample,0.010163852013647556,0.01446049939841032,1.0058456659317017,0.017664743587374687,0.06842395663261414,1600,continuous,32,0.0,0.8
fig1b_gauss_bz0,3,base_full,0.004629744216799736,0.02092198096215725,1.0155997276306152,0.01726556196808815,0.10190511494874954,1600,continuous,32,0.0,0.8
fig1b_gauss_bz0,3,base_half,0.011584085412323475,0.03296332061290741,1.010695219039917,0.014417905360460281,0.06848538666963577,1600,continuous,32,0.0,0.8
fig1b_gauss_bz0,3,posthoc,0.04246405512094498,0.11567617207765579,1.024546504020691,-0.020841844379901886,0.1944449543952942,1600,continuous,32,0.0,0.8
fig1b_gauss_bz0,3,posthoc_same_sample,0.0038216006942093372,0.020911231637001038,1.0111322402954102,0.018575944006443024,0.10305120795965195,1600,continuous,32,0.0,0.8
